year_month,airport_code,airport_name,state,scheduled_departures,on_time_arrival_pct,dep_delay_rate_pct,avg_dep_delay_min,avg_taxi_out_min,cancellation_rate_pct
2026-03,TPA,Tampa International Airport,FL,7679,76.38,26.93,17.41,16.72,2.891
2026-03,PHX,Phoenix Sky Harbor International Airport,AZ,19277,76.81,22.6,13.61,16.78,0.918
2026-03,ORF,Norfolk International Airport,VA,1561,77.11,21.5,15.55,17.73,3.459
2026-03,ECP,Northwest Florida Beaches International Airport,FL,940,80.7,21.12,12.8,13.63,2.766
2026-03,OMA,Eppley Airfield,NE,2120,78.65,22.66,16.49,15.24,3.396
2026-03,HPN,Westchester County Airport,NY,920,76.59,23.44,17.2,16.24,4.022
2026-03,PSP,Palm Springs International Airport,CA,1826,78.32,20.07,12.24,17.72,1.205
2026-03,FAI,Fairbanks International Airport,AK,357,82.81,20.8,15.49,12.91,1.681
2026-03,SRQ,Sarasota Bradenton International Airport,FL,2122,72.89,25.61,17.39,19.04,3.393
2026-03,COS,City of Colorado Springs Municipal Airport,CO,1059,81.61,19.87,17.96,20.32,1.133
2026-03,MKE,General Mitchell International Airport,WI,2626,74.34,25.83,22.16,16.73,6.245
2026-03,GRR,Gerald R. Ford International Airport,MI,1732,72.81,23.3,23.57,18.64,3.349
2026-03,MCI,Kansas City International Airport,MO,4227,79.3,23.76,15.06,14.13,3.407
2026-03,DCA,Ronald Reagan Washington National Airport,VA,12204,70.24,31.9,23.95,22.36,4.982
2026-03,BWI,Baltimore/Washington International Thurgood Marshall Airport,MD,7802,74.56,34.53,20.87,14.76,2.576
2026-03,BHM,Birmingham-Shuttlesworth International Airport,AL,1383,78.98,23.37,16.71,15.08,3.471
2026-03,CID,The Eastern Iowa Airport,IA,801,72.91,26.06,33.74,16.09,5.618
2026-03,SAV,Savannah Hilton Head International Airport,GA,1675,78.05,22.69,17.83,16.31,3.164
2026-03,TUL,Tulsa International Airport,OK,1518,80.65,20.98,18.7,15.39,2.042
2026-03,HNL,Daniel K. Inouye International Airport,HI,5037,73.74,21.34,12.18,17.97,2.243
2026-03,BIS,Bismarck Municipal Airport,ND,293,76.31,20.49,11.9,21.16,1.706
2026-03,PIT,Pittsburgh International Airport,PA,3434,78.58,22.25,15.4,15.33,2.883
2026-03,MSO,Missoula Montana Airport,MT,376,80.05,22.91,20.03,18.46,1.33
2026-03,GPT,Gulfport Biloxi International Airport,MS,221,85.24,17.54,14.42,15.15,4.525
2026-03,XNA,Northwest Arkansas National Airport,AR,1222,79.32,20.5,15.47,17.47,2.619
2026-03,MYR,Myrtle Beach International Airport,SC,911,76.85,25.48,17.57,13.69,3.513
2026-03,FSD,Sioux Falls Regional Airport,SD,754,79.78,21.81,12.36,18.39,4.509
2026-03,ELP,El Paso International Airport,TX,1362,79.61,21.59,12.85,15.48,1.028
2026-03,MOB,Mobile Regional Airport,AL,185,84.0,18.18,12.91,16.47,4.865
2026-03,TYS,McGhee Tyson Airport,TN,1119,77.43,21.67,18.78,16.28,2.681
2026-03,IDA,Idaho Falls Regional Airport,ID,341,82.14,20.24,17.9,16.96,1.466
2026-03,ISP,Long Island MacArthur Airport,NY,413,71.14,32.75,19.24,12.38,3.874
2026-03,AZA,Mesa Gateway Airport,AZ,784,76.93,17.82,8.29,15.58,0.51
2026-03,BGR,Bangor International Airport,ME,182,62.57,31.21,34.48,24.08,4.945
2026-03,SWF,New York Stewart International Airport,NY,48,58.33,43.75,53.88,13.13,0.0
2026-03,SPI,Abraham Lincoln Capital Airport,IL,76,76.47,17.65,8.68,13.37,10.526
2026-03,LRD,Laredo International Airport,TX,133,89.15,11.63,7.61,13.52,3.008
2026-03,GFK,Grand Forks International Airport,ND,115,80.36,20.54,14.59,20.53,2.609
2026-03,EUG,Eugene Airport,OR,728,89.28,13.75,5.72,14.85,1.099
2026-03,HTS,Tri-State Airport / Milton J. Ferguson Field,WV,30,44.83,51.72,52.38,10.1,3.333
2026-03,MFE,McAllen Miller International Airport,TX,399,79.13,19.34,26.26,15.01,1.504
2026-03,GRI,Central Nebraska Regional Airport,NE,89,75.28,25.84,26.27,16.04,0.0
2026-03,EVV,Evansville Regional Airport,IN,142,76.87,21.48,25.96,19.26,4.93
2026-03,SHV,Shreveport Regional Airport,LA,466,76.87,22.86,26.18,17.97,2.361
2026-03,MLU,Monroe Regional Airport,LA,92,84.27,17.78,10.51,15.43,2.174
2026-03,AMA,Rick Husband Amarillo International Airport,TX,428,87.38,15.44,9.4,14.43,1.636
2026-03,TXK,Texarkana Regional Airport (Webb Field),AR,62,90.32,8.06,-0.16,14.97,0.0
2026-03,GJT,Grand Junction Regional Airport,CO,417,85.92,13.11,4.02,19.43,1.199
2026-03,AZO,Kalamazoo/Battle Creek International Airport,MI,180,70.76,28.07,26.18,19.39,5.0
2026-03,LAW,Lawton Fort Sill Regional Airport,OK,84,61.84,40.79,50.36,15.49,9.524
2026-03,GRK,Killeen Regional Airport / Robert Gray Army Airfield,TX,142,74.07,22.22,17.56,17.85,4.93
2026-03,RDM,Roberts Field,OR,596,87.73,12.93,4.97,17.83,1.342
2026-03,OME,Nome Airport,AK,33,87.88,9.09,2.21,5.76,0.0
2026-03,SCC,Deadhorse Airport,AK,44,83.72,23.26,2.02,9.81,2.273
2026-03,PPG,Pago Pago International Airport,TT,14,100.0,0.0,-5.86,12.64,0.0
2026-03,ITO,Hilo International Airport,HI,556,76.42,19.43,9.54,10.49,4.676
2026-03,BTV,Patrick Leahy Burlington International Airport,VT,438,74.46,17.66,16.33,24.34,4.338
2026-04,MIA,Miami International Airport,FL,9556,75.31,23.25,12.86,22.06,0.303
2026-04,MKE,General Mitchell International Airport,WI,2588,80.7,17.46,11.81,15.45,2.202
2026-04,MSP,Minneapolis–Saint Paul International Airport / Wold–Chamberlain Field,MN,9639,83.89,14.24,6.87,17.42,0.747
2026-04,ONT,Ontario International Airport,CA,2119,82.79,19.03,8.61,14.11,0.283
2026-04,PBI,President Donald J. Trump International Airport,FL,3067,71.27,24.8,17.02,19.84,0.619
2026-04,PDX,Portland International Airport,OR,5040,86.09,14.51,6.06,15.78,0.476
2026-04,PIT,Pittsburgh International Airport,PA,3531,85.27,14.46,6.59,14.13,0.51
2026-04,RNO,Reno Tahoe International Airport,NV,1631,79.72,18.41,7.27,17.54,0.429
2026-04,SAV,Savannah Hilton Head International Airport,GA,1764,83.06,18.06,8.8,16.05,0.794
2026-04,SNA,John Wayne Orange County International Airport,CA,3686,82.54,20.08,10.07,16.17,0.814
2026-04,TYS,McGhee Tyson Airport,TN,1152,84.08,14.54,6.36,15.95,1.476
2026-04,VPS,Destin-Fort Walton Beach Airport,FL,958,83.25,17.44,6.82,15.69,0.626
2026-04,ABQ,Albuquerque International Sunport,NM,1969,83.89,16.24,7.29,15.54,0.559
2026-04,ATL,Hartsfield Jackson Atlanta International Airport,GA,26607,82.08,17.03,7.24,16.41,1.003
2026-04,BDL,Bradley International Airport,CT,1946,80.78,18.67,11.08,15.4,0.925
2026-04,BHM,Birmingham-Shuttlesworth International Airport,AL,1495,84.59,15.72,7.75,15.04,0.87
2026-04,BNA,Nashville International Airport,TN,9616,77.65,24.17,12.24,16.86,0.593
2026-04,BOI,Boise Air Terminal/Gowen Field,ID,1946,84.26,14.75,7.59,17.09,0.36
2026-04,BWI,Baltimore/Washington International Thurgood Marshall Airport,MD,8041,79.87,24.28,11.49,14.88,0.336
2026-04,CLT,Charlotte Douglas International Airport,NC,15396,78.79,21.4,11.96,20.92,0.234
2026-04,CMH,John Glenn Columbus International Airport,OH,3713,84.19,15.46,7.09,14.7,0.512
2026-04,DCA,Ronald Reagan Washington National Airport,VA,11802,76.98,23.58,14.8,21.72,0.805
2026-04,DTW,Detroit Metropolitan Wayne County Airport,MI,10417,81.13,16.26,7.47,18.01,1.267
2026-04,GEG,Spokane International Airport,WA,1457,88.49,12.87,4.88,15.83,0.275
2026-04,GRR,Gerald R. Ford International Airport,MI,1710,79.03,17.76,11.93,16.46,1.871
2026-04,HDN,Yampa Valley Airport,CO,123,81.82,11.48,7.97,21.96,0.813
2026-04,HOU,William P. Hobby Airport,TX,4418,75.78,26.47,11.88,13.72,0.136
2026-04,IAD,Washington Dulles International Airport,VA,4843,87.2,10.71,4.97,21.1,0.31
2026-04,LAS,Harry Reid International Airport,NV,14672,78.76,25.82,11.62,17.47,0.395
2026-04,LGB,Long Beach International Airport,CA,1156,84.39,19.55,7.24,12.77,0.0
2026-04,MCI,Kansas City International Airport,MO,4184,81.9,19.43,10.43,13.48,0.98
2026-04,EYW,Key West International Airport,FL,816,81.67,17.77,9.96,15.12,0.0
2026-04,JFK,John F. Kennedy International Airport,NY,8254,81.63,15.96,6.84,27.46,0.242
2026-04,MSN,Dane County Regional Truax Field,WI,1245,80.3,17.76,10.8,16.01,2.329
2026-04,CID,The Eastern Iowa Airport,IA,761,75.2,21.27,19.97,14.82,3.022
2026-04,GSO,Piedmont Triad International Airport,NC,943,84.53,14.7,5.44,16.67,1.166
2026-04,XNA,Northwest Arkansas National Airport,AR,1214,85.1,13.81,8.91,16.48,0.988
2026-04,IAH,George Bush Intercontinental Airport,TX,10022,80.42,18.79,10.85,20.59,0.569
2026-04,FSD,Sioux Falls Regional Airport,SD,723,79.21,18.73,10.07,16.94,1.798
2026-04,BFL,Meadows Field,CA,229,78.6,14.85,7.17,20.82,0.0
2026-04,DAB,Daytona Beach International Airport,FL,294,85.71,17.35,8.74,15.31,0.0
2026-05,PNS,Pensacola International Airport,FL,1320,79.12,24.02,14.81,13.59,1.288
2026-05,BNA,Nashville International Airport,TN,9814,70.62,34.41,18.42,17.44,0.571
2026-05,LEX,Blue Grass Airport,KY,853,81.5,18.38,11.35,16.53,1.758
2026-05,ECP,Northwest Florida Beaches International Airport,FL,1021,77.37,24.55,12.74,13.52,1.469
2026-05,CHA,Chattanooga Metropolitan Airport (Lovell Field),TN,443,77.34,20.19,17.94,16.12,2.709
2026-05,ILM,Wilmington International Airport,NC,738,83.47,17.24,6.71,17.47,0.949
2026-05,SEA,Seattle–Tacoma International Airport,WA,14564,82.19,19.82,8.55,21.06,0.412
2026-05,LAS,Harry Reid International Airport,NV,14585,74.08,29.63,16.39,17.89,0.665
2026-05,PHX,Phoenix Sky Harbor International Airport,AZ,17337,76.99,25.23,13.34,16.05,0.3
2026-05,DEN,Denver International Airport,CO,27406,76.43,23.92,12.24,20.51,0.285
2026-05,FLL,Fort Lauderdale Hollywood International Airport,FL,6437,74.89,25.38,13.64,18.12,0.528
2026-05,CLE,Cleveland Hopkins International Airport,OH,3745,84.43,14.8,8.27,14.73,0.961
2026-05,XNA,Northwest Arkansas National Airport,AR,1319,80.88,18.05,15.85,17.78,1.289
2026-05,OMA,Eppley Airfield,NE,2223,81.76,19.32,11.17,13.99,0.585
2026-05,GRR,Gerald R. Ford International Airport,MI,1726,82.34,15.24,10.24,15.8,0.753
2026-05,ORD,Chicago O'Hare International Airport,IL,33733,76.08,23.3,15.69,27.83,1.008
2026-05,SAN,San Diego International Airport,CA,8947,76.87,25.68,12.07,20.76,0.659
2026-05,BUF,Buffalo Niagara International Airport,NY,1936,82.53,18.37,9.18,13.88,0.723
2026-05,BQN,Rafael Hernández International Airport,PR,188,83.87,18.18,4.41,12.18,0.532
2026-05,SMF,Sacramento International Airport,CA,4945,81.83,20.62,9.13,13.87,0.364
2026-05,BUR,Hollywood Burbank/Bob Hope Airport,CA,2520,78.99,22.7,10.98,18.1,1.071
2026-05,TYS,McGhee Tyson Airport,TN,1308,80.37,19.49,11.78,16.38,1.147
2026-05,LIT,Bill & Hillary Clinton National Airport/Adams Field,AR,1215,80.02,20.28,14.12,16.13,0.988
2026-05,BOI,Boise Air Terminal/Gowen Field,ID,2040,80.62,19.51,10.39,16.33,0.245
2026-05,MLI,Quad City International Airport,IL,420,78.88,17.43,14.12,18.59,1.667
2026-05,PIA,General Wayne A. Downing Peoria International Airport,IL,447,78.44,17.35,12.92,17.45,2.013
2026-05,ATW,Appleton International Airport,WI,720,84.03,15.83,11.13,16.42,0.0
2026-05,RFD,Chicago Rockford International Airport,IL,90,81.11,22.22,19.84,12.14,0.0
2026-05,PIE,St. Petersburg Clearwater International Airport,FL,790,80.58,18.23,9.73,13.91,0.0
2026-05,HTS,Tri-State Airport / Milton J. Ferguson Field,WV,32,43.75,53.13,81.97,10.19,0.0
2026-05,SGF,Springfield Branson National Airport,MO,739,78.06,23.41,14.17,16.1,2.3
2026-05,FWA,Fort Wayne International Airport,IN,543,75.56,24.39,19.19,19.22,1.105
2026-05,IAG,Niagara Falls International Airport,NY,29,65.52,27.59,8.76,13.0,0.0
2026-05,SYR,Syracuse Hancock International Airport,NY,959,85.91,12.5,8.84,14.66,1.564
2026-05,COS,City of Colorado Springs Municipal Airport,CO,1119,83.36,19.48,12.29,19.66,0.894
2026-05,TVC,Cherry Capital Airport,MI,468,82.94,14.44,8.56,14.68,0.855
2026-05,SCK,Stockton Metropolitan Airport,CA,39,53.85,46.15,27.51,12.38,0.0
2026-05,TUL,Tulsa International Airport,OK,1626,78.95,21.53,15.0,15.55,1.169
2026-05,ELM,Elmira Corning Regional Airport,NY,115,87.72,12.28,8.42,14.44,0.87
2026-05,MFR,Rogue Valley International-Medford Airport,OR,530,81.94,16.32,6.66,16.32,0.566
2026-05,MQT,Marquette Sawyer Regional Airport,MI,130,86.61,13.28,14.94,12.03,1.538
2026-05,ABI,Abilene Regional Airport,TX,244,83.75,17.08,9.9,12.61,1.639
2026-05,AMA,Rick Husband Amarillo International Airport,TX,419,81.22,20.63,10.96,13.96,1.671
2026-05,PWM,Portland International Jetport,ME,1056,85.73,13.48,4.83,15.08,0.947
2026-05,AEX,Alexandria International Airport,LA,112,78.5,16.67,12.58,17.15,3.571
2026-05,GGG,East Texas Regional Airport,TX,62,86.67,10.0,1.85,14.52,3.226
