year_month,carrier,carrier_min,weather_min,nas_min,security_min,late_aircraft_min,delayed_flights,total_cause_min,carrier_share_pct,weather_share_pct,nas_share_pct,security_share_pct,late_aircraft_share_pct
2026-05,NK,993.0,35.0,2736.0,50.0,2786.0,96,6600.0,15.05,0.53,41.45,0.76,42.21
2026-05,OH,112082.0,33790.0,64906.0,708.0,170402.0,4752,381888.0,29.35,8.85,17.0,0.19,44.62
2026-06,UA,317808.0,59457.0,490164.0,80.0,507176.0,18224,1374685.0,23.12,4.33,35.66,0.01,36.89
2026-07,OO,686594.0,194204.0,294580.0,1357.0,372465.0,18058,1549200.0,44.32,12.54,19.01,0.09,24.04
2025-08,OO,589077.0,175368.0,207339.0,1395.0,259054.0,15218,1232233.0,47.81,14.23,16.83,0.11,21.02
2025-09,AS,49301.0,5796.0,48281.0,1338.0,57884.0,3369,162600.0,30.32,3.56,29.69,0.82,35.6
2025-09,HA,27378.0,664.0,322.0,191.0,11414.0,743,39969.0,68.5,1.66,0.81,0.48,28.56
2025-10,WN,380211.0,21289.0,231735.0,2910.0,713078.0,27400,1349223.0,28.18,1.58,17.18,0.22,52.85
2025-11,F9,80182.0,4499.0,83898.0,0.0,180663.0,4023,349242.0,22.96,1.29,24.02,0.0,51.73
2025-11,HA,37896.0,1641.0,471.0,284.0,17137.0,1160,57429.0,65.99,2.86,0.82,0.49,29.84
2025-12,B6,166259.0,15109.0,118027.0,1325.0,248367.0,7210,549087.0,30.28,2.75,21.5,0.24,45.23
2025-12,DL,686199.0,74001.0,311718.0,887.0,517160.0,21090,1589965.0,43.16,4.65,19.61,0.06,32.53
2025-12,YX,143384.0,41266.0,182369.0,519.0,312140.0,8959,679678.0,21.1,6.07,26.83,0.08,45.92
2025-12,OH,189986.0,40102.0,66542.0,796.0,390368.0,7036,687794.0,27.62,5.83,9.67,0.12,56.76
2026-01,YX,118262.0,21259.0,95150.0,184.0,137407.0,5538,372262.0,31.77,5.71,25.56,0.05,36.91
2026-01,OH,108154.0,55104.0,50528.0,237.0,205094.0,4186,419117.0,25.81,13.15,12.06,0.06,48.93
2026-04,UA,191484.0,32597.0,310338.0,317.0,266264.0,12015,801000.0,23.91,4.07,38.74,0.04,33.24
2026-05,UA,237329.0,37748.0,331868.0,272.0,367325.0,14733,974542.0,24.35,3.87,34.05,0.03,37.69
2026-05,YX,87990.0,20237.0,99630.0,379.0,120873.0,4939,329109.0,26.74,6.15,30.27,0.12,36.73
2026-06,YX,100154.0,37126.0,148222.0,621.0,162126.0,5536,448249.0,22.34,8.28,33.07,0.14,36.17
2026-07,AA,825996.0,146041.0,339854.0,3701.0,1403448.0,28650,2719040.0,30.38,5.37,12.5,0.14,51.62
2025-08,AA,675438.0,140605.0,280011.0,2722.0,1074559.0,24735,2173335.0,31.08,6.47,12.88,0.13,49.44
2025-09,F9,70731.0,10254.0,41601.0,0.0,114598.0,3020,237184.0,29.82,4.32,17.54,0.0,48.32
2026-01,NK,72937.0,3639.0,62377.0,498.0,70963.0,3107,210414.0,34.66,1.73,29.64,0.24,33.73
2026-06,DL,511540.0,48583.0,255453.0,926.0,327686.0,15763,1144188.0,44.71,4.25,22.33,0.08,28.64
2026-06,G4,132972.0,38874.0,57776.0,624.0,152789.0,3917,383035.0,34.72,10.15,15.08,0.16,39.89
2026-06,MQ,96637.0,70207.0,91752.0,824.0,204063.0,5974,463483.0,20.85,15.15,19.8,0.18,44.03
2026-06,B6,97870.0,11552.0,109936.0,429.0,184979.0,5088,404766.0,24.18,2.85,27.16,0.11,45.7
2025-12,NK,91619.0,4771.0,106157.0,1306.0,93646.0,3821,297499.0,30.8,1.6,35.68,0.44,31.48
2025-12,G4,74437.0,34939.0,52296.0,853.0,124693.0,3523,287218.0,25.92,12.16,18.21,0.3,43.41
2026-01,B6,114242.0,15969.0,94549.0,874.0,179126.0,5339,404760.0,28.22,3.95,23.36,0.22,44.25
2026-03,OO,782461.0,197613.0,244410.0,661.0,346910.0,15661,1572055.0,49.77,12.57,15.55,0.04,22.07
2026-04,NK,79118.0,3246.0,88077.0,419.0,70900.0,3498,241760.0,32.73,1.34,36.43,0.17,29.33
2026-04,OH,131818.0,23844.0,47041.0,445.0,232326.0,4675,435474.0,30.27,5.48,10.8,0.1,53.35
2026-04,B6,73298.0,2411.0,85712.0,636.0,138877.0,4965,300934.0,24.36,0.8,28.48,0.21,46.15
2026-05,B6,61330.0,5996.0,65360.0,279.0,99901.0,3671,232866.0,26.34,2.57,28.07,0.12,42.9
