origin,flight_date,airport_code,y,lightgbm,seasonal_naive,mean_4wk_same_weekday,target
2026-06-05,2026-06-09,PHX,507.0,506.37063081862374,515.0,515.75,scheduled_departures
2026-06-05,2026-06-10,PHX,512.0,525.1694156229534,526.0,545.0,scheduled_departures
2026-06-05,2026-06-11,PHX,540.0,537.6276529404159,542.0,570.0,scheduled_departures
2026-06-05,2026-06-12,PHX,541.0,547.153192197859,543.0,573.0,scheduled_departures
2026-06-05,2026-06-06,SEA,480.0,464.6092334737784,464.0,449.25,scheduled_departures
2026-06-05,2026-06-07,SEA,514.0,496.3544564756156,500.0,483.5,scheduled_departures
2026-06-05,2026-06-08,SEA,516.0,486.317283470597,501.0,488.25,scheduled_departures
2026-06-05,2026-06-09,SEA,497.0,471.6933347303345,479.0,467.5,scheduled_departures
2026-06-05,2026-06-10,SEA,512.0,481.56836784829136,487.0,482.25,scheduled_departures
2026-06-05,2026-06-11,SEA,532.0,501.73951193694097,513.0,500.5,scheduled_departures
2026-06-05,2026-06-12,SEA,531.0,515.1377385779139,517.0,504.25,scheduled_departures
2026-06-12,2026-06-13,ATL,786.0,788.6503108014033,779.0,768.25,scheduled_departures
2026-06-12,2026-06-14,ATL,931.0,923.7986518074742,936.0,903.75,scheduled_departures
2026-06-12,2026-06-15,ATL,945.0,946.653567997146,945.0,936.25,scheduled_departures
2026-06-12,2026-06-16,ATL,896.0,911.9299624152969,895.0,888.0,scheduled_departures
2026-06-12,2026-06-17,ATL,898.0,910.2660009026858,897.0,893.5,scheduled_departures
2026-06-12,2026-06-18,ATL,940.0,879.3757501292878,942.0,938.5,scheduled_departures
2026-06-12,2026-06-19,ATL,941.0,665.0920748458223,943.0,939.5,scheduled_departures
2026-06-12,2026-06-13,CLT,475.0,487.00891766636323,472.0,474.25,scheduled_departures
2026-06-12,2026-06-14,CLT,514.0,519.369723643043,513.0,517.75,scheduled_departures
2026-06-12,2026-06-15,CLT,516.0,522.4247175809844,513.0,519.25,scheduled_departures
2026-06-12,2026-06-16,CLT,492.0,510.8794012526049,492.0,479.0,scheduled_departures
2026-06-12,2026-06-17,CLT,500.0,511.68187028745973,500.0,496.75,scheduled_departures
2026-06-12,2026-06-18,CLT,518.0,511.8884390093976,518.0,519.5,scheduled_departures
2026-06-12,2026-06-19,CLT,517.0,381.14081776937786,517.0,516.75,scheduled_departures
2026-06-12,2026-06-13,DEN,870.0,905.5148551165553,872.0,828.0,scheduled_departures
2026-06-12,2026-06-14,DEN,978.0,978.6213065680347,974.0,932.5,scheduled_departures
2026-06-12,2026-06-15,DEN,996.0,998.0371283393944,992.0,959.25,scheduled_departures
2026-06-12,2026-06-16,DEN,918.0,940.3470168000231,917.0,871.25,scheduled_departures
2026-06-12,2026-06-17,DEN,952.0,974.6191435032224,952.0,902.0,scheduled_departures
2026-06-12,2026-06-18,DEN,998.0,932.2659230297165,997.0,980.25,scheduled_departures
2026-06-12,2026-06-19,DEN,1000.0,714.1887693317765,998.0,981.75,scheduled_departures
2026-06-12,2026-06-13,DFW,901.0,920.2246571338943,900.0,882.5,scheduled_departures
2026-06-12,2026-06-14,DFW,947.0,954.2706105435019,945.0,927.25,scheduled_departures
2026-06-12,2026-06-15,DFW,949.0,959.7167177185119,945.0,926.0,scheduled_departures
2026-06-12,2026-06-16,DFW,902.0,917.9110026565467,893.0,869.5,scheduled_departures
2026-06-12,2026-06-17,DFW,907.0,926.0265062426334,901.0,885.5,scheduled_departures
2026-06-12,2026-06-18,DFW,952.0,889.3902942341263,947.0,942.25,scheduled_departures
2026-06-12,2026-06-19,DFW,953.0,672.5241572184216,949.0,944.75,scheduled_departures
2026-06-12,2026-06-13,LAS,376.0,397.11969456751996,379.0,375.75,scheduled_departures
2026-06-12,2026-06-14,LAS,490.0,504.31746723698456,495.0,504.5,scheduled_departures
2026-06-12,2026-06-15,LAS,494.0,508.8303597154456,501.0,510.0,scheduled_departures
2026-06-12,2026-06-16,LAS,415.0,440.08989370808246,419.0,424.75,scheduled_departures
2026-06-12,2026-06-17,LAS,418.0,435.8772409171572,422.0,428.75,scheduled_departures
2026-06-12,2026-06-18,LAS,496.0,490.67104716496306,496.0,502.75,scheduled_departures
2026-06-12,2026-06-19,LAS,499.0,399.28087467608304,498.0,506.0,scheduled_departures
2026-06-12,2026-06-13,LAX,515.0,509.40425422842276,507.0,495.75,scheduled_departures
2026-06-12,2026-06-14,LAX,570.0,563.3009805793911,562.0,542.75,scheduled_departures
2026-06-12,2026-06-15,LAX,584.0,580.7198594528205,576.0,564.5,scheduled_departures
2026-06-12,2026-06-16,LAX,538.0,529.4376920403936,530.0,517.25,scheduled_departures
2026-06-12,2026-06-17,LAX,544.0,528.7148107058929,542.0,523.25,scheduled_departures
2026-06-12,2026-06-18,LAX,587.0,570.2126510926842,586.0,574.25,scheduled_departures
2026-06-12,2026-06-19,LAX,582.0,441.4180689821358,585.0,573.25,scheduled_departures
2026-06-12,2026-06-13,MCO,442.0,447.4267726262932,434.0,427.5,scheduled_departures
2026-06-12,2026-06-14,MCO,427.0,438.7260446812671,427.0,420.5,scheduled_departures
2026-06-12,2026-06-15,MCO,428.0,439.1812292040288,424.0,425.25,scheduled_departures
2026-06-12,2026-06-16,MCO,397.0,411.26891627998873,390.0,386.0,scheduled_departures
2026-06-12,2026-06-17,MCO,400.0,406.79723510300556,392.0,389.0,scheduled_departures
2026-06-12,2026-06-18,MCO,424.0,419.77341903975383,422.0,421.25,scheduled_departures
2026-06-12,2026-06-19,MCO,427.0,363.37095489524734,428.0,426.5,scheduled_departures
2026-06-12,2026-06-13,ORD,981.0,1033.3737073370967,981.0,1015.75,scheduled_departures
2026-06-12,2026-06-14,ORD,1059.0,1055.5563109596865,1056.0,1086.5,scheduled_departures
2026-06-12,2026-06-15,ORD,1062.0,1054.6548407481373,1057.0,1085.75,scheduled_departures
2026-06-12,2026-06-16,ORD,1040.0,1043.0377418224775,1037.0,1053.5,scheduled_departures
2026-06-12,2026-06-17,ORD,1047.0,1042.575516826401,1046.0,1066.5,scheduled_departures
2026-06-12,2026-06-18,ORD,1062.0,997.5090853201818,1061.0,1075.25,scheduled_departures
2026-06-12,2026-06-19,ORD,1063.0,793.9493831856604,1063.0,1081.75,scheduled_departures
2026-06-12,2026-06-13,PHX,477.0,478.7247348263359,473.0,481.0,scheduled_departures
2026-06-12,2026-06-14,PHX,526.0,534.7962910842313,530.0,551.75,scheduled_departures
2026-06-12,2026-06-15,PHX,541.0,549.4719798922755,544.0,573.25,scheduled_departures
2026-06-12,2026-06-16,PHX,504.0,526.4680962774252,507.0,515.25,scheduled_departures
2026-06-12,2026-06-17,PHX,512.0,522.1796232412555,512.0,532.0,scheduled_departures
2026-06-12,2026-06-18,PHX,541.0,520.7622112010455,540.0,555.0,scheduled_departures
2026-06-12,2026-06-19,PHX,541.0,393.6710382606209,541.0,557.75,scheduled_departures
2026-06-12,2026-06-13,SEA,494.0,498.4327815562126,480.0,464.25,scheduled_departures
2026-06-12,2026-06-14,SEA,528.0,524.7525165175348,514.0,496.5,scheduled_departures
2026-06-12,2026-06-15,SEA,530.0,524.1301557589796,516.0,501.25,scheduled_departures
2026-06-12,2026-06-16,SEA,512.0,517.1796859413844,497.0,482.0,scheduled_departures
2026-06-12,2026-06-17,SEA,511.0,522.4281007047607,512.0,491.25,scheduled_departures
2026-06-12,2026-06-18,SEA,533.0,516.4218353324707,532.0,511.0,scheduled_departures
