route,origin,dest,distance_mi,scheduled_flights,carriers,on_time_pct,avg_arr_delay_min,p90_arr_delay_min,cancellation_rate_pct
PBI-PVD,PBI,PVD,1148.0,427,2,76.81,11.0,53.7,2.81
ILM-BOS,ILM,BOS,672.0,433,3,62.59,23.18,81.4,1.617
BOS-ILM,BOS,ILM,672.0,433,3,81.67,0.84,31.0,0.462
BOS-PHX,BOS,PHX,2300.0,2017,3,77.37,6.17,43.0,1.636
LAX-EWR,LAX,EWR,2454.0,4843,4,79.72,2.18,44.0,1.982
EWR-SJU,EWR,SJU,1608.0,2085,4,70.54,16.05,67.0,2.974
FLL-PHL,FLL,PHL,993.0,3508,4,72.54,16.48,70.4,3.25
BOS-IAH,BOS,IAH,1597.0,2021,2,81.0,-0.93,37.7,1.682
DCA-PBI,DCA,PBI,857.0,1805,5,73.85,10.5,58.0,1.939
HPN-SJU,HPN,SJU,1624.0,360,1,75.87,12.35,42.4,4.167
JFK-SRQ,JFK,SRQ,1041.0,534,3,79.41,3.26,42.3,4.12
SRQ-JFK,SRQ,JFK,1041.0,533,3,73.78,14.71,76.0,3.94
PQI-BOS,PQI,BOS,332.0,365,1,90.99,-5.51,13.0,2.74
PBI-EWR,PBI,EWR,1024.0,3608,3,75.33,12.83,71.0,2.91
PWM-JFK,PWM,JFK,273.0,398,2,80.47,6.98,54.2,4.774
SEA-BOS,SEA,BOS,2496.0,2502,3,75.09,6.67,46.0,1.319
ISP-FLL,ISP,FLL,1092.0,405,3,68.94,17.31,71.5,1.728
FLL-LAS,FLL,LAS,2173.0,1038,4,76.25,3.5,44.2,1.734
FLL-PHX,FLL,PHX,1972.0,570,4,72.52,10.95,58.0,0.702
SNA-DTW,SNA,DTW,1960.0,345,2,63.85,20.57,70.0,0.58
MSP-HNL,MSP,HNL,3972.0,365,1,82.6,4.7,31.9,0.822
CLE-MSP,CLE,MSP,622.0,644,2,85.4,-0.06,27.4,0.932
FLL-SEA,FLL,SEA,2717.0,826,2,71.18,8.2,46.0,1.211
SEA-LIH,SEA,LIH,2700.0,1094,2,73.1,5.49,44.0,0.731
DTW-SFO,DTW,SFO,2079.0,1796,2,66.97,16.3,61.0,0.724
LAX-DCA,LAX,DCA,2311.0,1454,3,80.3,3.33,41.0,1.376
ATL-BZN,ATL,BZN,1640.0,429,1,80.91,4.3,29.0,1.399
BZN-ATL,BZN,ATL,1640.0,429,1,85.75,0.33,28.0,1.399
IAD-SLC,IAD,SLC,1827.0,714,2,82.79,8.59,34.0,1.401
BOS-SLC,BOS,SLC,2105.0,1256,2,75.47,8.96,42.0,1.752
