route,origin,dest,distance_mi,scheduled_flights,carriers,on_time_pct,avg_arr_delay_min,p90_arr_delay_min,cancellation_rate_pct
LNK-ORD,LNK,ORD,466.0,1585,1,75.23,17.83,71.0,3.344
HLN-DEN,HLN,DEN,594.0,814,1,82.21,6.38,55.0,0.491
SFO-OMA,SFO,OMA,1433.0,369,2,71.43,10.51,60.4,0.813
ASE-DEN,ASE,DEN,125.0,2725,1,76.26,13.9,86.0,4.991
DEN-BOI,DEN,BOI,649.0,3037,4,76.85,7.18,39.0,0.099
ASE-LAX,ASE,LAX,737.0,1235,1,72.58,20.07,96.6,6.802
LAX-BOI,LAX,BOI,674.0,1375,2,89.43,-7.27,16.9,0.073
DRO-DEN,DRO,DEN,251.0,2187,2,82.59,3.53,41.0,1.097
XWA-DEN,XWA,DEN,582.0,1371,1,76.64,14.11,68.0,1.313
DEN-BZN,DEN,BZN,524.0,2721,3,78.89,5.82,39.2,0.294
SHV-IAH,SHV,IAH,192.0,1201,1,76.6,13.23,48.3,0.999
ORD-ICT,ORD,ICT,588.0,2189,5,66.96,18.44,79.6,2.65
DEN-FAT,DEN,FAT,844.0,1452,3,80.98,3.04,32.0,0.069
ORD-BIL,ORD,BIL,1060.0,316,2,88.5,-4.86,16.0,0.316
ILM-ORD,ILM,ORD,760.0,542,4,79.55,9.65,44.6,2.214
FCA-DEN,FCA,DEN,752.0,1010,2,84.78,1.81,31.0,0.99
PSP-DEN,PSP,DEN,776.0,2027,4,82.26,4.08,35.0,0.789
DEN-GJT,DEN,GJT,212.0,2256,2,79.76,6.48,44.0,1.152
CAK-ORD,CAK,ORD,344.0,2026,3,73.3,20.62,104.0,5.38
PHX-BOI,PHX,BOI,735.0,2015,5,80.54,4.33,34.0,0.347
MKE-ORD,MKE,ORD,67.0,5268,4,68.47,21.94,91.0,4.48
SBP-PHX,SBP,PHX,509.0,1258,3,81.93,16.76,36.0,0.954
AEX-DFW,AEX,DFW,285.0,1045,2,83.23,4.3,34.0,3.923
FSD-ORD,FSD,ORD,462.0,1801,5,68.89,20.97,91.0,3.776
PHX-OKC,PHX,OKC,833.0,1837,4,76.21,8.85,46.0,0.925
DFW-SHV,DFW,SHV,190.0,2125,3,75.84,11.72,60.0,3.718
MSN-ORD,MSN,ORD,108.0,4103,5,72.65,17.33,69.0,3.875
ORD-MSN,ORD,MSN,108.0,4103,5,72.0,16.12,67.0,3.778
FNT-ORD,FNT,ORD,223.0,1918,1,66.67,33.05,112.0,4.223
ORD-MHK,ORD,MHK,501.0,572,2,67.88,26.35,88.0,4.021
ORD-FNT,ORD,FNT,223.0,1918,1,64.94,29.24,108.7,4.327
DFW-SBN,DFW,SBN,846.0,984,2,73.83,13.53,70.8,1.829
BOI-PHX,BOI,PHX,735.0,2014,5,83.61,3.12,31.0,0.397
ORD-BTV,ORD,BTV,763.0,1248,4,69.76,17.59,66.0,2.003
TVC-ORD,TVC,ORD,224.0,2768,5,71.37,21.96,88.0,5.166
ORD-STL,ORD,STL,258.0,3090,5,72.07,14.25,65.0,2.945
LEX-ORD,LEX,ORD,323.0,1710,3,73.4,18.33,78.0,3.158
STL-ORD,STL,ORD,258.0,3090,5,72.64,19.04,70.0,3.56
BTV-ORD,BTV,ORD,763.0,1248,4,68.06,24.69,68.0,1.923
LAX-AUS,LAX,AUS,1242.0,4077,6,77.9,6.7,43.0,0.662
CRP-DFW,CRP,DFW,355.0,2512,3,81.39,8.59,43.0,2.906
ORD-CMH,ORD,CMH,296.0,4933,6,74.62,11.43,63.0,2.777
MCI-ORD,MCI,ORD,403.0,4197,6,75.73,16.74,67.0,2.859
CLE-ORD,CLE,ORD,316.0,4867,5,75.39,12.63,56.0,3.472
ORD-CLE,ORD,CLE,316.0,4867,5,71.25,16.05,71.0,3.103
ORD-SGF,ORD,SGF,438.0,1466,2,76.01,6.77,57.4,2.865
LAX-DEN,LAX,DEN,862.0,7708,5,81.95,2.87,36.0,0.454
CLT-BHM,CLT,BHM,350.0,1757,4,82.34,2.98,38.0,1.594
LAX-OKC,LAX,OKC,1187.0,929,2,86.7,-0.02,22.4,0.861
DFW-DRO,DFW,DRO,674.0,1373,2,76.92,6.99,55.2,2.258
SPI-ORD,SPI,ORD,174.0,707,2,81.41,5.98,57.0,3.395
CLL-DFW,CLL,DFW,164.0,1213,2,85.2,4.3,32.5,2.968
DFW-FLG,DFW,FLG,853.0,435,2,74.7,16.88,69.0,3.448
SFO-PHX,SFO,PHX,651.0,4690,5,73.9,12.81,54.0,0.768
ORD-DTW,ORD,DTW,235.0,5953,7,71.81,16.71,75.0,3.242
GRK-DFW,GRK,DFW,134.0,1907,2,81.07,6.9,43.4,4.51
ELP-ORD,ELP,ORD,1236.0,727,5,83.83,1.55,28.0,1.788
ORD-PWM,ORD,PWM,900.0,1494,4,74.62,9.8,52.0,2.61
DFW-ACT,DFW,ACT,90.0,1073,2,80.7,6.18,38.0,3.914
SEA-PHX,SEA,PHX,1107.0,7225,7,78.74,5.1,36.0,0.706
PHX-DRO,PHX,DRO,352.0,991,1,79.94,9.98,48.4,0.404
RST-ORD,RST,ORD,268.0,1057,2,66.8,25.5,92.5,4.73
ROW-DFW,ROW,DFW,435.0,827,2,83.62,8.19,40.0,2.418
ORD-LEX,ORD,LEX,323.0,1709,3,70.75,20.05,73.0,3.218
PHX-ONT,PHX,ONT,325.0,3027,4,77.16,7.43,43.0,0.496
BOI-SEA,BOI,SEA,399.0,3761,2,85.23,-2.49,26.0,0.372
GEG-SEA,GEG,SEA,224.0,5024,3,85.97,-0.1,23.0,1.035
SEA-GEG,SEA,GEG,224.0,5062,3,83.13,1.25,30.0,0.968
SAN-MRY,SAN,MRY,375.0,540,1,79.26,1.19,30.0,4.074
GEG-PDX,GEG,PDX,279.0,1028,2,86.06,1.12,24.0,0.875
SEA-EUG,SEA,EUG,234.0,1930,2,84.77,0.93,25.0,1.295
JAC-SFO,JAC,SFO,737.0,343,2,58.46,24.59,80.8,1.458
PSP-SFO,PSP,SFO,421.0,2566,4,63.24,19.35,75.0,0.857
SFO-RDM,SFO,RDM,462.0,1304,2,76.8,7.75,50.0,0.997
SAN-STS,SAN,STS,508.0,1014,2,78.27,0.61,41.0,3.452
SBA-SEA,SBA,SEA,908.0,363,2,79.17,2.59,38.2,0.826
SEA-FAT,SEA,FAT,748.0,925,2,83.19,1.74,29.0,0.865
EUG-PDX,EUG,PDX,105.0,579,1,90.72,-1.91,13.0,1.382
PDX-RNO,PDX,RNO,444.0,310,2,91.91,-4.07,9.2,0.0
SEA-SMF,SEA,SMF,605.0,4381,3,82.04,1.74,29.0,0.365
PDX-SMF,PDX,SMF,479.0,1966,3,82.18,3.69,33.0,0.254
BUR-SFO,BUR,SFO,326.0,3066,3,62.19,18.4,82.0,1.207
SFO-PSP,SFO,PSP,421.0,2547,4,75.71,10.98,61.0,1.021
SLC-PDX,SLC,PDX,630.0,2375,4,88.59,-3.08,18.0,1.137
PDX-SJC,PDX,SJC,569.0,1672,3,82.05,3.67,32.0,0.239
PDX-STS,PDX,STS,489.0,640,2,84.32,1.01,28.6,0.469
SEA-SBA,SEA,SBA,908.0,363,2,82.17,3.96,29.0,0.826
STS-SEA,STS,SEA,618.0,463,2,76.59,4.6,39.0,1.296
BOI-SJC,BOI,SJC,523.0,658,2,85.84,0.04,23.0,0.152
PSP-PDX,PSP,PDX,873.0,737,2,94.34,-8.98,7.0,1.764
SJC-SAN,SJC,SAN,417.0,4986,4,70.69,10.86,46.0,1.003
SEA-RDM,SEA,RDM,228.0,1907,2,84.87,-1.66,23.1,1.678
SEA-OAK,SEA,OAK,672.0,1895,3,74.02,7.81,42.0,0.686
SEA-RNO,SEA,RNO,564.0,902,2,78.7,3.98,35.0,0.998
BOI-LAX,BOI,LAX,674.0,1373,2,92.85,-5.73,11.0,0.218
PSC-SLC,PSC,SLC,521.0,1178,2,93.79,-5.24,5.0,0.17
LAS-SNA,LAS,SNA,226.0,4150,4,81.86,2.31,31.0,0.651
PHX-LAX,PHX,LAX,370.0,7606,7,82.08,3.45,33.0,0.631
SLC-SUN,SLC,SUN,222.0,1078,1,93.22,-8.26,6.9,0.742
RDM-SLC,RDM,SLC,525.0,729,1,91.27,-1.06,12.0,0.823
SJC-SLC,SJC,SLC,584.0,1801,3,92.08,-7.34,9.0,0.444
DTW-ATW,DTW,ATW,296.0,1069,2,76.22,13.39,84.4,1.403
MSP-AUS,MSP,AUS,1042.0,1675,3,79.19,1.6,40.8,0.716
SDF-DTW,SDF,DTW,306.0,1128,4,82.92,10.82,45.0,0.887
LWS-SLC,LWS,SLC,461.0,365,1,92.88,-2.78,6.0,0.0
GEG-LAX,GEG,LAX,945.0,878,3,90.84,-3.99,13.0,0.569
CVG-MSP,CVG,MSP,596.0,827,2,86.46,1.2,23.0,0.846
PSP-SLC,PSP,SLC,541.0,1078,2,92.92,-5.96,7.0,0.371
ATL-SBN,ATL,SBN,566.0,1029,2,73.98,21.28,86.0,1.944
SBN-ATL,SBN,ATL,566.0,1029,2,76.42,19.4,70.0,2.138
XNA-SLC,XNA,SLC,1004.0,362,1,89.44,-2.13,16.0,0.552
SNA-LAS,SNA,LAS,226.0,4146,4,83.14,2.41,33.0,0.603
SFO-SEA,SFO,SEA,679.0,6797,5,73.18,7.72,49.0,1.059
ATL-ABY,ATL,ABY,145.0,307,1,79.07,14.83,59.0,1.954
SLC-AUS,SLC,AUS,1086.0,1784,3,82.63,1.62,31.0,0.673
DTW-MSN,DTW,MSN,311.0,903,2,74.58,13.27,68.0,0.886
MEM-MSP,MEM,MSP,700.0,900,2,86.5,1.41,24.0,1.111
MSP-MEM,MSP,MEM,700.0,900,2,82.15,0.96,31.0,1.0
SJC-LAS,SJC,LAS,386.0,3750,5,80.54,4.96,38.0,0.453
DTW-LAN,DTW,LAN,74.0,858,1,74.38,18.86,81.0,0.816
JAC-SLC,JAC,SLC,205.0,1217,2,87.38,-0.87,22.0,0.986
SHV-ATL,SHV,ATL,552.0,1517,1,82.8,10.57,55.0,2.703
COS-SLC,COS,SLC,411.0,721,1,93.32,-8.7,7.2,0.139
PIH-SLC,PIH,SLC,149.0,448,1,93.96,-8.91,4.0,0.223
SEA-BZN,SEA,BZN,543.0,1574,3,82.43,2.29,30.0,0.445
DTW-CHS,DTW,CHS,667.0,571,4,77.18,9.78,52.0,1.576
DTW-OMA,DTW,OMA,650.0,1145,2,75.37,14.41,71.0,0.611
LGA-BNA,LGA,BNA,764.0,3781,5,71.59,10.61,63.0,4.84
DTW-MBS,DTW,MBS,98.0,1055,1,78.43,12.1,65.0,1.043
MBS-DTW,MBS,DTW,98.0,1055,1,80.94,9.98,60.7,0.948
GSP-DTW,GSP,DTW,508.0,550,2,87.29,-1.07,22.6,2.727
SAV-DTW,SAV,DTW,705.0,595,2,79.69,13.69,47.0,1.345
DTW-ELM,DTW,ELM,331.0,925,1,76.91,14.47,63.7,1.189
ECP-AUS,ECP,AUS,710.0,623,3,78.49,8.5,48.8,0.0
AUS-JAX,AUS,JAX,953.0,650,2,81.75,4.63,40.0,0.769
JAX-AUS,JAX,AUS,953.0,650,2,77.19,12.65,47.0,1.231
MSP-GRR,MSP,GRR,408.0,1248,2,79.89,5.23,45.4,1.042
IAD-DTW,IAD,DTW,383.0,1133,4,77.62,14.41,65.0,1.236
GRR-DTW,GRR,DTW,120.0,1591,3,79.12,12.25,72.0,0.88
SNA-SEA,SNA,SEA,978.0,3956,3,85.52,-2.6,24.0,1.036
FCA-SLC,FCA,SLC,532.0,1111,2,90.81,-0.53,12.0,0.9
SLC-SBA,SLC,SBA,615.0,1060,2,92.73,-7.14,10.0,0.755
SBN-DTW,SBN,DTW,157.0,711,1,79.63,17.9,85.0,1.125
LAS-SMF,LAS,SMF,397.0,4123,4,78.51,4.6,40.0,0.485
SBN-MSP,SBN,MSP,411.0,365,1,83.84,12.96,48.0,1.37
ATL-TRI,ATL,TRI,227.0,520,2,81.32,9.95,43.7,0.962
DTW-MDW,DTW,MDW,228.0,1256,2,75.57,9.47,36.5,1.194
MCI-MSP,MCI,MSP,393.0,1053,2,82.26,5.27,38.4,1.425
AUS-SLC,AUS,SLC,1086.0,1785,3,82.04,5.75,38.0,0.728
MSP-STL,MSP,STL,448.0,1936,3,80.29,3.96,36.8,0.878
ABY-ATL,ABY,ATL,145.0,308,1,82.45,4.28,64.7,1.948
LEX-DTW,LEX,DTW,296.0,788,2,83.8,9.18,51.3,1.142
TUL-SLC,TUL,SLC,926.0,403,1,92.25,-6.81,8.0,0.744
SLC-BOI,SLC,BOI,290.0,1741,2,86.73,-1.15,20.0,0.804
AUS-BNA,AUS,BNA,756.0,3001,2,75.63,10.43,48.0,0.633
DTW-GRB,DTW,GRB,287.0,875,2,72.37,18.34,92.5,2.057
MEM-DTW,MEM,DTW,610.0,1010,4,82.76,8.4,49.9,1.683
OKC-LGA,OKC,LGA,1341.0,775,2,80.35,9.97,45.0,4.645
CIU-DTW,CIU,DTW,285.0,363,1,83.82,3.16,49.2,6.336
ABR-MSP,ABR,MSP,257.0,754,1,89.22,3.73,18.0,1.459
DTW-APN,DTW,APN,198.0,631,1,82.3,3.55,47.8,4.437
SLC-SGU,SLC,SGU,272.0,1717,1,91.88,-5.18,10.0,0.175
SLC-EKO,SLC,EKO,200.0,578,1,93.02,-3.2,7.0,0.692
XWA-MSP,XWA,MSP,553.0,1039,1,80.02,13.45,75.0,1.732
MSP-IMT,MSP,IMT,257.0,363,1,77.23,10.68,82.4,3.857
DTW-CIU,DTW,CIU,285.0,363,1,72.4,21.95,88.4,6.612
IMT-MSP,IMT,MSP,257.0,363,1,73.5,26.1,129.0,3.306
MQT-DTW,MQT,DTW,349.0,364,1,79.53,16.88,99.0,6.044
MOT-DEN,MOT,DEN,604.0,1108,1,79.06,11.81,52.2,1.264
BIS-DEN,BIS,DEN,516.0,1466,1,79.7,9.92,58.3,0.614
DEN-COS,DEN,COS,73.0,5008,3,76.54,8.55,53.0,1.158
ASE-SFO,ASE,SFO,848.0,376,1,61.76,26.75,115.0,5.585
DEN-CPR,DEN,CPR,230.0,2600,1,77.68,10.54,53.0,0.846
SFO-BFL,SFO,BFL,238.0,581,1,69.62,19.05,64.5,0.688
IAH-MAF,IAH,MAF,429.0,778,2,80.21,3.66,44.4,0.386
DEN-GUC,DEN,GUC,152.0,994,1,80.87,8.28,43.8,0.704
BHM-DEN,BHM,DEN,1083.0,1218,3,83.11,1.88,35.0,0.164
DEN-RDD,DEN,RDD,932.0,332,1,76.67,6.87,30.2,0.0
DEN-MAF,DEN,MAF,563.0,1504,2,78.01,6.73,49.0,0.864
BNA-IAH,BNA,IAH,657.0,1409,3,83.09,1.89,31.0,0.781
ORD-ATW,ORD,ATW,160.0,2429,2,70.87,17.28,71.4,4.817
IAH-STL,IAH,STL,667.0,420,2,75.42,10.12,46.6,0.714
GSO-ORD,GSO,ORD,589.0,1563,3,78.39,7.26,47.0,3.455
IAH-BNA,IAH,BNA,657.0,1408,3,72.9,11.94,51.0,0.568
ORD-ROA,ORD,ROA,530.0,883,2,69.64,13.8,56.0,4.077
IAH-OKC,IAH,OKC,395.0,1285,2,79.64,9.2,51.4,1.167
DFW-GTR,DFW,GTR,491.0,367,1,80.0,7.34,50.6,2.997
GTR-DFW,GTR,DFW,491.0,367,1,73.24,22.54,86.0,2.997
DFW-GRI,DFW,GRI,562.0,707,1,74.96,18.16,77.0,2.687
TUL-DFW,TUL,DFW,237.0,2784,4,78.96,11.74,53.0,3.376
PHX-FLG,PHX,FLG,119.0,1201,1,77.73,15.26,52.0,2.748
PHX-ABQ,PHX,ABQ,328.0,3298,4,78.47,6.03,40.0,0.394
CLT-SHV,CLT,SHV,764.0,753,2,71.78,35.31,93.7,2.922
CVG-ORD,CVG,ORD,264.0,4655,6,71.36,18.5,70.0,3.502
DEN-RIW,DEN,RIW,296.0,728,1,81.83,8.79,37.0,0.687
LBL-DEN,LBL,DEN,280.0,627,1,80.13,13.1,59.7,1.914
DEN-CYS,DEN,CYS,90.0,730,1,77.95,15.41,56.0,0.822
JST-ORD,JST,ORD,487.0,362,1,67.95,48.1,179.4,6.354
DEN-BFF,DEN,BFF,150.0,626,1,80.39,5.58,46.4,1.278
DEN-LAR,DEN,LAR,113.0,628,1,77.69,12.84,62.7,1.433
DEC-ORD,DEC,ORD,156.0,627,1,66.89,25.64,83.9,5.423
ORD-LAF,ORD,LAF,119.0,567,1,68.39,28.66,82.0,4.056
SHR-DEN,SHR,DEN,359.0,766,1,81.04,9.75,51.4,0.914
LBF-DEN,LBF,DEN,227.0,626,1,76.58,16.5,66.8,0.958
PIB-IAH,PIB,IAH,372.0,627,1,80.68,9.89,55.0,0.957
DEN-GCC,DEN,GCC,313.0,726,1,79.97,8.84,48.0,0.826
IAH-SLN,IAH,SLN,621.0,326,1,76.8,17.87,68.8,0.613
BFF-DEN,BFF,DEN,150.0,626,1,79.42,17.45,65.4,1.278
JMS-DEN,JMS,DEN,573.0,627,1,78.14,12.94,63.0,2.073
DEN-DIK,DEN,DIK,488.0,685,1,77.21,14.58,66.8,1.752
FOD-ORD,FOD,ORD,324.0,571,1,74.16,22.53,87.3,5.429
DEN-SUX,DEN,SUX,466.0,518,1,84.06,3.11,33.3,1.351
DEN-SLN,DEN,SLN,383.0,365,1,71.82,16.65,71.4,0.0
LAX-SGU,LAX,SGU,349.0,310,1,86.04,3.97,22.0,0.0
SUX-DEN,SUX,DEN,466.0,518,1,69.9,21.91,83.6,2.51
SFO-SBA,SFO,SBA,262.0,1639,2,79.42,5.88,40.0,1.22
ORD-CRW,ORD,CRW,416.0,948,1,61.83,26.77,96.0,3.376
DEN-IDA,DEN,IDA,458.0,1698,3,81.89,5.57,44.0,0.471
ORD-PIA,ORD,PIA,130.0,2283,2,70.85,13.19,62.0,4.555
MBS-ORD,MBS,ORD,222.0,1006,1,67.52,28.24,109.0,3.181
TUL-ORD,TUL,ORD,585.0,2130,5,78.17,9.29,51.0,2.535
ASE-IAH,ASE,IAH,913.0,626,1,74.28,16.04,97.0,4.633
JAX-ORD,JAX,ORD,864.0,2116,6,77.8,11.54,55.0,2.032
IAH-ICT,IAH,ICT,542.0,561,2,79.5,6.15,37.0,0.891
ROA-ORD,ROA,ORD,530.0,882,2,75.53,16.8,70.0,3.175
OMA-ORD,OMA,ORD,416.0,3063,6,75.52,14.32,58.0,3.036
SFO-MFR,SFO,MFR,329.0,1029,2,78.99,7.93,40.2,1.069
SLC-LAX,SLC,LAX,590.0,4191,6,86.46,-3.05,21.9,0.453
ORD-MEM,ORD,MEM,491.0,2504,5,72.65,11.37,59.0,3.355
MFR-SFO,MFR,SFO,329.0,1031,2,66.83,18.09,61.9,0.776
ORD-MLI,ORD,MLI,139.0,2264,3,69.56,16.47,73.9,5.124
MDT-ORD,MDT,ORD,594.0,2131,5,75.37,14.46,60.0,3.144
RDD-SFO,RDD,SFO,199.0,878,1,70.53,26.56,100.0,1.822
ORD-GEG,ORD,GEG,1498.0,714,3,65.09,19.63,72.0,1.541
ABQ-DEN,ABQ,DEN,349.0,3200,3,83.02,3.41,33.7,0.594
BGR-ORD,BGR,ORD,978.0,697,5,78.1,15.46,57.6,1.722
DEN-SUN,DEN,SUN,557.0,630,1,81.35,5.24,44.9,0.0
SBA-SFO,SBA,SFO,262.0,1640,2,62.51,21.51,75.0,1.159
ORD-JAX,ORD,JAX,864.0,2116,6,73.87,12.66,63.0,1.371
BIL-ORD,BIL,ORD,1060.0,317,2,80.71,13.1,35.0,0.315
DEN-PIA,DEN,PIA,793.0,432,2,66.67,16.93,66.5,1.157
SFO-EUG,SFO,EUG,451.0,994,2,75.73,9.85,59.4,0.503
TYS-DEN,TYS,DEN,1162.0,1001,5,84.69,-0.13,39.0,0.5
FCA-ORD,FCA,ORD,1352.0,532,4,69.62,21.33,70.0,0.94
LAX-SLC,LAX,SLC,590.0,4189,6,87.55,-0.55,23.0,0.477
DEN-HOB,DEN,HOB,501.0,364,1,75.84,17.15,87.5,1.648
MCI-DEN,MCI,DEN,533.0,4327,4,77.45,8.55,42.0,0.508
IAH-LFT,IAH,LFT,201.0,313,1,76.87,22.86,61.4,1.917
OMA-DEN,OMA,DEN,472.0,3307,4,76.37,8.47,49.0,0.423
MSP-SFO,MSP,SFO,1589.0,1914,3,68.81,10.54,58.0,0.679
EUG-SFO,EUG,SFO,451.0,994,2,67.99,18.18,73.0,1.006
ORD-BZN,ORD,BZN,1185.0,1268,4,69.06,15.25,69.0,0.789
ORD-BWI,ORD,BWI,622.0,2691,8,72.55,12.55,60.0,2.601
SAF-PHX,SAF,PHX,370.0,516,1,76.47,10.51,54.0,0.581
HOU-DFW,HOU,DFW,247.0,2001,3,77.64,14.24,60.0,4.148
PHX-BUR,PHX,BUR,369.0,3147,4,79.91,6.02,41.0,0.699
SAT-SFO,SAT,SFO,1482.0,434,2,86.05,2.78,30.0,0.461
GEG-DEN,GEG,DEN,836.0,2052,4,84.18,2.0,30.5,0.292
IAH-PIT,IAH,PIT,1117.0,774,2,82.49,3.4,34.0,0.129
PIT-IAH,PIT,IAH,1117.0,774,2,84.61,-2.54,28.8,0.129
ABE-ORD,ABE,ORD,654.0,453,2,72.69,27.39,100.9,3.974
MSP-CMH,MSP,CMH,626.0,851,2,79.93,7.3,52.9,0.823
FSD-MSP,FSD,MSP,196.0,1346,2,84.27,4.91,36.2,1.189
PHX-BFL,PHX,BFL,425.0,1305,3,80.03,9.48,47.4,1.762
BFL-PHX,BFL,PHX,425.0,1306,3,83.23,5.35,53.8,1.761
ABQ-HOU,ABQ,HOU,759.0,970,1,83.63,1.99,25.0,0.206
ATL-MDW,ATL,MDW,591.0,3526,3,76.26,10.71,47.0,2.014
ATL-PHX,ATL,PHX,1587.0,3732,4,75.54,8.67,47.0,0.723
ATL-TPA,ATL,TPA,406.0,6141,4,73.74,12.16,55.0,1.27
AUS-CMH,AUS,CMH,1073.0,414,5,81.07,7.25,27.9,0.483
AUS-DEN,AUS,DEN,775.0,5416,4,79.05,4.43,42.0,0.646
AUS-HOU,AUS,HOU,148.0,1349,1,68.88,10.48,49.0,0.297
AUS-HRL,AUS,HRL,273.0,708,1,73.37,10.71,54.5,0.282
AUS-OAK,AUS,OAK,1497.0,359,1,61.56,14.51,48.2,0.0
AUS-PIT,AUS,PIT,1210.0,321,2,69.78,15.4,55.0,0.0
BDL-MDW,BDL,MDW,776.0,824,1,80.94,6.58,36.0,1.578
BHM-MDW,BHM,MDW,570.0,457,1,86.16,0.93,22.3,1.094
BNA-ATL,BNA,ATL,214.0,4265,2,83.47,0.82,32.0,1.758
BNA-CHS,BNA,CHS,439.0,987,1,73.82,9.57,39.0,0.507
BNA-CLE,BNA,CLE,448.0,1041,3,73.48,10.2,48.0,0.672
BNA-CLT,BNA,CLT,328.0,3487,6,78.5,9.49,44.0,1.778
BNA-CVG,BNA,CVG,230.0,521,1,77.22,6.2,37.3,0.576
BNA-DTW,BNA,DTW,456.0,2421,4,78.89,6.07,36.0,1.363
BNA-ECP,BNA,ECP,401.0,1088,1,75.49,7.05,41.0,0.551
BNA-HOU,BNA,HOU,670.0,1820,1,76.23,2.45,39.0,0.659
BNA-JAN,BNA,JAN,327.0,366,1,68.77,8.6,44.0,0.273
BNA-LAS,BNA,LAS,1587.0,2021,6,76.78,5.37,40.8,0.792
BNA-MEM,BNA,MEM,200.0,515,1,71.15,9.8,46.8,0.388
BNA-MIA,BNA,MIA,806.0,2537,5,75.04,11.85,51.0,1.261
BNA-OKC,BNA,OKC,616.0,527,1,74.81,5.4,35.1,0.949
BNA-PNS,BNA,PNS,391.0,957,1,77.82,4.04,36.0,0.836
BNA-SAN,BNA,SAN,1751.0,1065,1,74.02,4.15,41.0,0.751
BOS-AUS,BOS,AUS,1698.0,1673,3,72.1,10.58,64.0,2.212
BOS-BWI,BOS,BWI,369.0,3513,3,78.92,4.91,46.0,2.676
BUF-BNA,BUF,BNA,633.0,370,1,78.2,6.79,27.4,0.811
BUF-DEN,BUF,DEN,1359.0,586,3,74.87,8.14,41.0,0.171
BUR-ABQ,BUR,ABQ,672.0,327,1,84.0,0.08,28.2,0.612
BUR-DAL,BUR,DAL,1243.0,394,1,83.64,1.72,26.0,1.015
BUR-LAS,BUR,LAS,223.0,4167,3,80.96,4.03,39.0,1.632
BUR-MDW,BUR,MDW,1740.0,322,1,87.74,-3.35,19.0,0.621
BWI-AUS,BWI,AUS,1342.0,1260,1,77.5,2.06,33.0,1.587
BWI-BDL,BWI,BDL,283.0,1747,1,82.16,3.1,29.0,2.118
BWI-BHM,BWI,BHM,682.0,336,1,81.33,2.33,25.9,0.893
BWI-DTW,BWI,DTW,409.0,2251,4,82.03,4.39,36.0,1.866
BWI-FLL,BWI,FLL,925.0,3135,4,75.44,7.46,46.0,2.52
BWI-MSY,BWI,MSY,998.0,1157,3,77.91,4.16,37.0,1.296
BWI-PBI,BWI,PBI,883.0,1233,1,78.45,4.63,42.0,1.46
BWI-PHX,BWI,PHX,1999.0,1234,1,77.17,2.74,38.0,0.891
BWI-RDU,BWI,RDU,256.0,1792,2,81.05,3.6,33.4,2.511
BWI-RIC,BWI,RIC,120.0,729,1,77.73,6.57,41.1,2.058
BWI-SAN,BWI,SAN,2295.0,1159,1,75.55,4.88,41.4,1.294
BWI-SDF,BWI,SDF,495.0,890,1,80.48,4.06,37.0,2.135
BWI-TPA,BWI,TPA,842.0,2673,3,79.43,3.88,38.0,1.796
CHS-BWI,CHS,BWI,472.0,1233,2,82.2,2.34,27.0,1.541
CHS-DAL,CHS,DAL,977.0,365,1,79.39,6.05,39.0,0.822
CHS-DEN,CHS,DEN,1449.0,643,2,69.35,14.01,63.8,0.622
CLE-BWI,CLE,BWI,314.0,970,1,85.24,-2.64,23.0,1.237
CLE-LAS,CLE,LAS,1824.0,991,4,77.03,9.46,51.0,1.413
CLT-BWI,CLT,BWI,361.0,2958,6,77.38,9.33,43.0,1.657
CLT-STL,CLT,STL,575.0,1834,3,79.78,6.69,45.0,1.527
CMH-BWI,CMH,BWI,337.0,1048,1,87.54,-1.3,22.4,1.622
CMH-FLL,CMH,FLL,973.0,764,3,78.14,7.0,44.0,3.01
COS-LAS,COS,LAS,604.0,861,1,80.23,3.49,36.0,0.0
DAL-AMA,DAL,AMA,323.0,1263,1,75.14,7.0,46.0,0.95
DAL-BNA,DAL,BNA,623.0,2433,1,71.48,12.74,54.0,1.439
DAL-CHS,DAL,CHS,977.0,365,1,68.33,15.09,58.1,0.822
DAL-CMH,DAL,CMH,919.0,537,1,71.08,14.02,53.0,1.304
DAL-DEN,DAL,DEN,651.0,2985,1,69.79,13.15,58.0,1.374
DAL-ELP,DAL,ELP,562.0,1769,1,73.5,9.71,51.0,0.961
DAL-HOU,DAL,HOU,239.0,4053,1,74.87,6.96,46.0,1.949
DAL-LAS,DAL,LAS,1067.0,2857,1,74.34,8.03,45.0,1.19
DAL-LBB,DAL,LBB,293.0,1506,1,77.07,5.44,44.0,1.262
DAL-MCI,DAL,MCI,461.0,2055,1,75.1,8.97,44.0,1.411
DAL-MDW,DAL,MDW,793.0,2179,1,69.79,13.47,52.9,2.019
DAL-MSY,DAL,MSY,437.0,2289,1,75.78,8.03,46.0,1.136
DAL-OAK,DAL,OAK,1468.0,417,1,61.74,17.74,68.4,0.959
DAL-ONT,DAL,ONT,1200.0,399,1,68.02,15.19,55.8,1.253
DAL-SMF,DAL,SMF,1442.0,660,1,70.43,10.24,48.0,0.606
DAL-SNA,DAL,SNA,1216.0,364,1,71.94,9.7,49.1,0.824
DCA-AUS,DCA,AUS,1315.0,364,1,54.42,23.28,75.7,0.549
DCA-DAL,DCA,DAL,1184.0,1733,1,72.46,11.47,60.0,1.789
