route,origin,dest,distance_mi,scheduled_flights,carriers,on_time_pct,avg_arr_delay_min,p90_arr_delay_min,cancellation_rate_pct,log_flights,segment_id,segment,pc1,pc2
TUL-DFW,TUL,DFW,237.0,2784,4,78.96,11.74,53.0,3.376,3.4446692309385245,0,"Trunk route - multi-carrier, unreliable",1.320635969641023,1.4997662011894248
PHX-FLG,PHX,FLG,119.0,1201,1,77.73,15.26,52.0,2.748,3.079543007402906,1,"Thin route - long delay tail, high average delay",0.9274966826420329,-0.7399878732737319
PHX-ABQ,PHX,ABQ,328.0,3298,4,78.47,6.03,40.0,0.394,3.5182506513085,0,"Trunk route - multi-carrier, unreliable",-0.044089591711151115,1.9316228657982595
CLT-SHV,CLT,SHV,764.0,753,2,71.78,35.31,93.7,2.922,2.8767949762007006,1,"Thin route - long delay tail, high average delay",3.841907136071111,-1.5335670053552473
CVG-ORD,CVG,ORD,264.0,4655,6,71.36,18.5,70.0,3.502,3.6679196853173615,0,"Trunk route - multi-carrier, unreliable",3.2118507091481154,2.515476093303789
DEN-RIW,DEN,RIW,296.0,728,1,81.83,8.79,37.0,0.687,2.862131379313037,2,"Thin route - reliable, short delay tail",-0.812065822531678,-0.8267949402388823
LBL-DEN,LBL,DEN,280.0,627,1,80.13,13.1,59.7,1.914,2.7972675408307164,1,"Thin route - long delay tail, high average delay",0.469608766665723,-1.2684564983266935
DEN-CYS,DEN,CYS,90.0,730,1,77.95,15.41,56.0,0.822,2.863322860120456,2,"Thin route - reliable, short delay tail",0.5005759897448591,-1.1460975777151967
JST-ORD,JST,ORD,487.0,362,1,67.95,48.1,179.4,6.354,2.558708570533166,1,"Thin route - long delay tail, high average delay",7.831058961389025,-3.6556610606519864
DEN-BFF,DEN,BFF,150.0,626,1,80.39,5.58,46.4,1.278,2.7965743332104296,2,"Thin route - reliable, short delay tail",-0.5357588075961496,-0.9912746477946743
DEN-LAR,DEN,LAR,113.0,628,1,77.69,12.84,62.7,1.433,2.797959643737196,1,"Thin route - long delay tail, high average delay",0.6354959871695974,-1.2978480343184513
DEC-ORD,DEC,ORD,156.0,627,1,66.89,25.64,83.9,5.423,2.7972675408307164,1,"Thin route - long delay tail, high average delay",3.807773536489943,-2.028136929521341
ORD-LAF,ORD,LAF,119.0,567,1,68.39,28.66,82.0,4.056,2.7535830588929064,1,"Thin route - long delay tail, high average delay",3.518674819277984,-2.0938702272305645
SHR-DEN,SHR,DEN,359.0,766,1,81.04,9.75,51.4,0.914,2.884228769632604,2,"Thin route - reliable, short delay tail",-0.25501911763589147,-0.9246186471014456
LBF-DEN,LBF,DEN,227.0,626,1,76.58,16.5,66.8,0.958,2.7965743332104296,1,"Thin route - long delay tail, high average delay",0.9482478616478291,-1.417768662951775
PIB-IAH,PIB,IAH,372.0,627,1,80.68,9.89,55.0,0.957,2.7972675408307164,2,"Thin route - reliable, short delay tail",-0.14928990796689995,-1.1385741198017274
DEN-GCC,DEN,GCC,313.0,726,1,79.97,8.84,48.0,0.826,2.8609366207000937,2,"Thin route - reliable, short delay tail",-0.3457715611571359,-0.943745013333873
IAH-SLN,IAH,SLN,621.0,326,1,76.8,17.87,68.8,0.613,2.513217600067939,1,"Thin route - long delay tail, high average delay",0.8220920223403774,-2.055892365542465
BFF-DEN,BFF,DEN,150.0,626,1,79.42,17.45,65.4,1.278,2.7965743332104296,1,"Thin route - long delay tail, high average delay",0.8422104142118794,-1.3800866865567338
JMS-DEN,JMS,DEN,573.0,627,1,78.14,12.94,63.0,2.073,2.7972675408307164,1,"Thin route - long delay tail, high average delay",0.689711479127084,-1.3518883421892889
DEN-DIK,DEN,DIK,488.0,685,1,77.21,14.58,66.8,1.752,2.8356905714924254,1,"Thin route - long delay tail, high average delay",0.9272035319683132,-1.332541228736354
FOD-ORD,FOD,ORD,324.0,571,1,74.16,22.53,87.3,5.429,2.756636108245848,1,"Thin route - long delay tail, high average delay",3.0845062306524462,-1.9520655351306262
DEN-SUX,DEN,SUX,466.0,518,1,84.06,3.11,33.3,1.351,2.714329759745233,2,"Thin route - reliable, short delay tail",-1.397761751837329,-0.981697257405977
DEN-SLN,DEN,SLN,383.0,365,1,71.82,16.65,71.4,0.0,2.5622928644564746,1,"Thin route - long delay tail, high average delay",1.10875909190034,-2.0002217876859514
LAX-SGU,LAX,SGU,349.0,310,1,86.04,3.97,22.0,0.0,2.4913616938342726,2,"Thin route - reliable, short delay tail",-2.1724139740582524,-1.2921369392206252
SUX-DEN,SUX,DEN,466.0,518,1,69.9,21.91,83.6,2.51,2.714329759745233,1,"Thin route - long delay tail, high average delay",2.5607501124062284,-1.9987488864338037
SFO-SBA,SFO,SBA,262.0,1639,2,79.42,5.88,40.0,1.22,3.214578953570499,2,"Thin route - reliable, short delay tail",-0.3323852715891276,0.3541862049985853
ORD-CRW,ORD,CRW,416.0,948,1,61.83,26.77,96.0,3.376,2.976808337338066,1,"Thin route - long delay tail, high average delay",4.151343721405144,-1.8142006117974079
DEN-IDA,DEN,IDA,458.0,1698,3,81.89,5.57,44.0,0.471,3.229937685907934,2,"Thin route - reliable, short delay tail",-0.4936619774974485,0.8955031784502366
ORD-PIA,ORD,PIA,130.0,2283,2,70.85,13.19,62.0,4.555,3.3585059114902354,1,"Thin route - long delay tail, high average delay",2.2518531699290345,0.10186533118015043
MBS-ORD,MBS,ORD,222.0,1006,1,67.52,28.24,109.0,3.181,3.0025979807199086,1,"Thin route - long delay tail, high average delay",4.150251653937045,-1.7541837943881722
TUL-ORD,TUL,ORD,585.0,2130,5,78.17,9.29,51.0,2.535,3.3283796034387376,0,"Trunk route - multi-carrier, unreliable",1.010787848721721,1.7874877431603808
ASE-IAH,ASE,IAH,913.0,626,1,74.28,16.04,97.0,4.633,2.7965743332104296,1,"Thin route - long delay tail, high average delay",2.6312914866704373,-1.8226905288969752
JAX-ORD,JAX,ORD,864.0,2116,6,77.8,11.54,55.0,2.032,3.325515663363148,0,"Trunk route - multi-carrier, unreliable",1.278141790920062,2.173184815355257
IAH-ICT,IAH,ICT,542.0,561,2,79.5,6.15,37.0,0.891,2.7489628612561616,2,"Thin route - reliable, short delay tail",-0.704259303291912,-0.5946098760317257
ROA-ORD,ROA,ORD,530.0,882,2,75.53,16.8,70.0,3.175,2.94546858513182,1,"Thin route - long delay tail, high average delay",1.799575962416069,-0.7751922708131025
OMA-ORD,OMA,ORD,416.0,3063,6,75.52,14.32,58.0,3.036,3.4861469968065726,0,"Trunk route - multi-carrier, unreliable",2.087820165605061,2.387849136025156
SFO-MFR,SFO,MFR,329.0,1029,2,78.99,7.93,40.2,1.069,3.012415374762433,2,"Thin route - reliable, short delay tail",-0.2809735158068316,-0.11131910765120628
SLC-LAX,SLC,LAX,590.0,4191,6,86.46,-3.05,21.9,0.453,3.6223176608338443,0,"Trunk route - multi-carrier, unreliable",-1.4532010669486337,3.5306708526127943
ORD-MEM,ORD,MEM,491.0,2504,5,72.65,11.37,59.0,3.355,3.398634324538392,0,"Trunk route - multi-carrier, unreliable",2.020867488034772,1.7165377579433698
MFR-SFO,MFR,SFO,329.0,1031,2,66.83,18.09,61.9,0.776,3.0132586652835167,1,"Thin route - long delay tail, high average delay",1.8498337431268579,-0.6755032393912844
ORD-MLI,ORD,MLI,139.0,2264,3,69.56,16.47,73.9,5.124,3.354876422516234,1,"Thin route - long delay tail, high average delay",3.158502500826209,0.3832019462645261
