flight_date,airport_code,forecast,target
2026-08-03,LAS,0.25436737088543604,arr_delay_rate
2026-08-04,LAS,0.2344690691996477,arr_delay_rate
2026-08-05,LAS,0.23187127150572245,arr_delay_rate
2026-08-06,LAS,0.24568363596458148,arr_delay_rate
2026-08-07,LAS,0.2626505519917583,arr_delay_rate
2026-08-01,LAX,0.23437545071874102,arr_delay_rate
2026-08-02,LAX,0.21951071995830992,arr_delay_rate
2026-08-03,LAX,0.2359593504094405,arr_delay_rate
2026-08-04,LAX,0.2511753795735667,arr_delay_rate
2026-08-05,LAX,0.22670837282450879,arr_delay_rate
2026-08-06,LAX,0.20780846239877074,arr_delay_rate
2026-08-07,LAX,0.2344336665947102,arr_delay_rate
2026-08-01,MCO,0.29198316111093536,arr_delay_rate
2026-08-02,MCO,0.28232231338196123,arr_delay_rate
2026-08-03,MCO,0.31917256139851247,arr_delay_rate
2026-08-04,MCO,0.24066124911395614,arr_delay_rate
2026-08-05,MCO,0.26506239075274146,arr_delay_rate
2026-08-06,MCO,0.25699514862523554,arr_delay_rate
2026-08-07,MCO,0.2634572707967774,arr_delay_rate
2026-08-01,ORD,0.29907078491797223,arr_delay_rate
2026-08-02,ORD,0.2284399951864097,arr_delay_rate
2026-08-03,ORD,0.2917741230356477,arr_delay_rate
2026-08-04,ORD,0.25856968106028055,arr_delay_rate
2026-08-05,ORD,0.24823169013501242,arr_delay_rate
2026-08-06,ORD,0.23399702741983833,arr_delay_rate
2026-08-07,ORD,0.24491759270016003,arr_delay_rate
2026-08-01,PHX,0.2912552864578992,arr_delay_rate
2026-08-02,PHX,0.22558819049574017,arr_delay_rate
2026-08-03,PHX,0.24718200312184282,arr_delay_rate
2026-08-04,PHX,0.2341235086435836,arr_delay_rate
2026-08-05,PHX,0.22087592444892254,arr_delay_rate
2026-08-06,PHX,0.23706554649785938,arr_delay_rate
2026-08-07,PHX,0.2286402506331673,arr_delay_rate
2026-08-01,SEA,0.3128152188717255,arr_delay_rate
2026-08-02,SEA,0.2284149585571791,arr_delay_rate
2026-08-03,SEA,0.24245554825130922,arr_delay_rate
2026-08-04,SEA,0.21220348717726464,arr_delay_rate
2026-08-05,SEA,0.2237139312499517,arr_delay_rate
2026-08-06,SEA,0.24207962366673247,arr_delay_rate
2026-08-07,SEA,0.24297306309134087,arr_delay_rate
