route,origin_airport,dest_airport,completed_flights,mean_delay_prob,observed_delay_rate,mean_p90_min,mean_cancel_prob
IND-LAS,IND,LAS,250,0.24139068664610386,0.196,40.08288870048523,0.003856799250934273
PHX-CMH,PHX,CMH,188,0.24138497957523833,0.35638297872340424,38.35991750879491,0.006733605479623409
RNO-SAN,RNO,SAN,261,0.2413397888399632,0.3716475095785441,48.91074633689676,0.006177952603937945
DAL-BNA,DAL,BNA,436,0.2412859264146024,0.4426605504587156,37.619257727894215,0.00753263046630736
HPN-PBI,HPN,PBI,224,0.24121748795732856,0.19642857142857142,70.32013198307583,0.00952530619648532
MKE-EWR,MKE,EWR,162,0.2411475728875325,0.24074074074074073,47.88438842914723,0.02497912028006145
SEA-OAK,SEA,OAK,396,0.2411162949759852,0.3005050505050505,40.15347196116592,0.0067469195066306095
SMF-SAN,SMF,SAN,908,0.24111481611145094,0.3975770925110132,40.95999516579548,0.0052627973053971586
LAS-MCO,LAS,MCO,375,0.24109174491961796,0.4,51.34095102945964,0.005465933940937057
PHL-RDU,PHL,RDU,481,0.24104446459275025,0.3097713097713098,57.4059127680725,0.013873492953515159
AUS-HRL,AUS,HRL,163,0.2409664151127353,0.38650306748466257,40.31539765164896,0.005324564560418721
BWI-RSW,BWI,RSW,178,0.24095746669709012,0.3146067415730337,33.83557351787439,0.008073472192571048
DEN-MDW,DEN,MDW,401,0.24092550701148194,0.341645885286783,39.324557808569246,0.006655967076699143
HOU-SAN,HOU,SAN,175,0.24088359641177315,0.38285714285714284,37.72533757890974,0.003912177023344806
DTW-PHX,DTW,PHX,405,0.24071353302325732,0.254320987654321,48.376497899750134,0.0052767727140556366
LGA-MDW,LGA,MDW,380,0.24071182716441783,0.3473684210526316,51.24668314582423,0.012765710870791182
LAS-BOI,LAS,BOI,184,0.2407073319039267,0.41847826086956524,37.13712050603784,0.002432136346570864
CLT-GRR,CLT,GRR,180,0.24070370313194062,0.3277777777777778,61.1503172132704,0.007931599776821407
SEA-SFO,SEA,SFO,1288,0.24069251414527248,0.6296583850931677,43.20952994927116,0.0065784655666241195
CLE-LAS,CLE,LAS,175,0.2406410722221647,0.25142857142857145,60.89389043535505,0.00498518092138181
DCA-MKE,DCA,MKE,213,0.24060427719298663,0.323943661971831,49.26265736700783,0.013196097831162186
PHL-MSN,PHL,MSN,163,0.24059786524143686,0.32515337423312884,57.43314920905178,0.022003563965292097
MDW-MSY,MDW,MSY,177,0.24056258890251656,0.3333333333333333,36.66092541258214,0.006587502189092541
ORD-LIT,ORD,LIT,331,0.2405510472296948,0.22054380664652568,62.53878602088398,0.008049159098291667
FLL-DTW,FLL,DTW,307,0.24052596317925748,0.2247557003257329,55.556444335838094,0.00784831285945293
MCO-HOU,MCO,HOU,370,0.24045088179409504,0.34054054054054056,50.02429545247877,0.004896467729161183
LGA-ILM,LGA,ILM,167,0.24041888501472816,0.24550898203592814,63.679140993221075,0.022658251754536823
PHL-STL,PHL,STL,289,0.24040289612480514,0.25259515570934254,49.39588469205018,0.0074805097884940676
GSP-LGA,GSP,LGA,131,0.24037665714516895,0.2595419847328244,55.50473947015428,0.024112511426210403
GRR-DTW,GRR,DTW,214,0.24033791906087199,0.1261682242990654,63.119208255660865,0.0072891188210973115
CMH-MCO,CMH,MCO,288,0.24031412827834073,0.2638888888888889,53.236575335264206,0.006941511641856558
DFW-CLT,DFW,CLT,644,0.24028831984130491,0.3804347826086957,52.165350469743245,0.011829518245991044
EAU-ORD,EAU,ORD,100,0.24026376605033875,0.29,56.8888745880127,0.013940735334264381
IAH-LGA,IAH,LGA,654,0.24022429954796026,0.3287461773700306,55.40367854115431,0.013775704339599472
RNO-SEA,RNO,SEA,221,0.2401719762189356,0.248868778280543,48.561588201048146,0.007254479751117291
AMA-DEN,AMA,DEN,114,0.24015520735268006,0.22807017543859648,87.96670224373801,0.009012846492655706
SAN-DAL,SAN,DAL,277,0.240154409639887,0.3971119133574007,38.01499438371899,0.008869512864525387
DSM-DFW,DSM,DFW,230,0.24012422658826993,0.33043478260869563,64.06084327697754,0.014826662719608226
ISP-MCO,ISP,MCO,231,0.24010640308583453,0.26406926406926406,54.92497596905861,0.009805414921549313
CHS-JFK,CHS,JFK,103,0.2400820052739486,0.3592233009708738,68.95512612352094,0.013569255517256901
ROA-ORD,ROA,ORD,175,0.2398068618774414,0.24571428571428572,65.4863603428432,0.014309643447154859
SEA-SIT,SEA,SIT,121,0.23978158967061478,0.2809917355371901,38.002360572499676,0.010289225108982598
IND-MCO,IND,MCO,392,0.23977524730167826,0.2423469387755102,49.99669584692741,0.006136916447360649
DAL-DEN,DAL,DEN,520,0.23973371981141658,0.3557692307692308,43.086780968996194,0.006528060968147121
CLE-ORD,CLE,ORD,737,0.23965035267730259,0.24151967435549526,57.555246888863344,0.010208970897168854
SJU-MCO,SJU,MCO,1223,0.23956370024423276,0.2534750613246116,54.1296565569724,0.005903158371391981
MDW-SLC,MDW,SLC,113,0.23951828492953714,0.36283185840707965,45.617368900670414,0.007146090885885714
MCO-CVG,MCO,CVG,307,0.2394667716047663,0.30293159609120524,50.523312435088016,0.007107230830171005
HOU-LAX,HOU,LAX,225,0.23943070547448264,0.40444444444444444,35.15169357299805,0.003518725498062041
CLT-VPS,CLT,VPS,224,0.23934535389500006,0.40625,44.19912075996399,0.007458415818697912
BOS-RIC,BOS,RIC,280,0.23926412859665497,0.18571428571428572,59.24419456209455,0.017374688940104036
SAN-HNL,SAN,HNL,287,0.2392557639537788,0.32752613240418116,47.6293325258049,0.005121021079187993
PVD-DTW,PVD,DTW,162,0.23919550973324127,0.2345679012345679,69.83372154942265,0.009840221732014381
PHX-GEG,PHX,GEG,222,0.23916609061730876,0.35585585585585583,41.927034111710284,0.005088850630305273
MSP-SAN,MSP,SAN,209,0.23916162293778653,0.22488038277511962,47.76718877947501,0.005530620989621455
RDU-ORD,RDU,ORD,625,0.23908710420131685,0.2736,53.86912088012695,0.010862839943589922
PHL-LAS,PHL,LAS,285,0.23904181405117636,0.3473684210526316,60.04458371881853,0.0070309608270516235
EWR-MCO,EWR,MCO,762,0.23899355845579637,0.2204724409448819,57.722300712204984,0.010127618006663397
MDT-ORD,MDT,ORD,356,0.238948961489656,0.25,64.53767567538144,0.010783590747158345
DCA-CMH,DCA,CMH,335,0.23889608432107898,0.2716417910447761,47.422478080863385,0.013853111868560187
DEN-SAN,DEN,SAN,1062,0.2388650978268203,0.3531073446327684,46.10460051125277,0.0050456885369738495
DCA-MIA,DCA,MIA,634,0.2386412253773739,0.2539432176656151,54.76973090788543,0.008875599773230446
AUS-PHL,AUS,PHL,199,0.23863628869829465,0.25125628140703515,60.944596007840715,0.00819312803346315
PVD-PHL,PVD,PHL,171,0.2386197489168909,0.24561403508771928,47.03190012703165,0.016126618199436466
TPA-DCA,TPA,DCA,333,0.2386134569798862,0.2702702702702703,51.667623265011535,0.00895837313698726
DTW-LGA,DTW,LGA,479,0.23861334508669899,0.2567849686847599,51.396878089188036,0.016201165335749106
SAN-SAT,SAN,SAT,118,0.2385448959924407,0.423728813559322,42.875570596274684,0.006028159617731147
DFW-SDF,DFW,SDF,341,0.238521709819693,0.3343108504398827,50.70448396912069,0.011538960259914313
SAT-SEA,SAT,SEA,121,0.23849545296066063,0.21487603305785125,49.862397028394966,0.006504560129963292
MCO-MIA,MCO,MIA,530,0.23847922692602536,0.29056603773584905,60.27328911187514,0.008973729977216781
HOU-MEM,HOU,MEM,154,0.23838068588407008,0.3181818181818182,43.283524240766255,0.004866375519662716
SEA-IND,SEA,IND,120,0.2383505874623855,0.24166666666666667,34.91801136334737,0.008235279409107099
BOS-DTW,BOS,DTW,441,0.23809987592960702,0.3310657596371882,58.46783994384904,0.00860159152004361
MDW-OMA,MDW,OMA,230,0.23808943658419277,0.3695652173913043,41.222204631307854,0.006823538978679631
DEN-ASE,DEN,ASE,448,0.2380868614418432,0.4017857142857143,74.01795022828239,0.013727178800000269
RDM-SFO,RDM,SFO,264,0.23808082119759286,0.5113636363636364,70.9747564648137,0.010652432190078609
SFB-ABE,SFB,ABE,111,0.23800950094654755,0.36936936936936937,47.562168568104234,0.005028140385056267
DEN-BHM,DEN,BHM,234,0.23800296753517583,0.3803418803418803,41.41396950452756,0.0038970880765230097
LGA-GSP,LGA,GSP,131,0.23793076331378848,0.2824427480916031,54.17807166994983,0.02067396933780917
ORD-IAH,ORD,IAH,1052,0.2378789199367449,0.26901140684410646,60.529728936605125,0.007649910601472796
MIA-DFW,MIA,DFW,764,0.23782307520040666,0.28403141361256545,54.600542177080484,0.009831146971762256
GRR-EWR,GRR,EWR,177,0.2377953680053269,0.1864406779661017,58.315317013842915,0.012202344933906808
GRR-LGA,GRR,LGA,167,0.23778084750303966,0.19161676646706588,47.76387496765502,0.015859686094865374
CMH-BNA,CMH,BNA,208,0.23775403712016457,0.17307692307692307,36.22197405420817,0.007360039143420111
CLT-CVG,CLT,CVG,296,0.2377505122960822,0.3547297297297297,49.1422036789559,0.009113754705209346
MIA-SJU,MIA,SJU,431,0.23773651953847116,0.21345707656612528,48.1917082616182,0.008329540344707132
HOU-AUS,HOU,AUS,175,0.23772789755037851,0.3657142857142857,41.83784269605364,0.004997177658052268
OAK-DEN,OAK,DEN,297,0.23770419584731461,0.3602693602693603,44.35559156205919,0.003531311178406657
DFW-ICT,DFW,ICT,397,0.23769946687242546,0.30982367758186397,46.84806579186274,0.01040583854114794
DEN-HNL,DEN,HNL,120,0.23767650946974755,0.25833333333333336,44.60100377400716,0.002368130828979135
SAN-HOU,SAN,HOU,173,0.2376244840766653,0.3872832369942196,38.69297684134776,0.005909187862915652
TPA-BNA,TPA,BNA,429,0.2375588262310395,0.2773892773892774,43.13839157366808,0.006956694625033479
MCO-SAT,MCO,SAT,193,0.23742852394753788,0.3005181347150259,55.999417001101634,0.005233361694595048
MSP-BIS,MSP,BIS,229,0.2374260646156869,0.16593886462882096,53.01779533786024,0.004519281748296885
AUS-ABQ,AUS,ABQ,171,0.2373696168917313,0.30409356725146197,42.442103134958366,0.0038594885371885327
SAN-EUG,SAN,EUG,170,0.2373471183811917,0.2411764705882353,53.732470411412855,0.004646767048587546
PHL-XNA,PHL,XNA,113,0.2373443679735724,0.2920353982300885,60.01186117661738,0.011013985577146293
DEN-FLL,DEN,FLL,195,0.23730086561961053,0.4461538461538462,42.7388665614984,0.005033026558036605
OGG-KOA,OGG,KOA,244,0.23728431400949837,0.20901639344262296,34.41722101070842,0.006679098556948001
ECP-AUS,ECP,AUS,129,0.23724070064319197,0.31007751937984496,65.09031455461368,0.005384303842375214
LGA-CLE,LGA,CLE,193,0.23721576713681838,0.27979274611398963,49.0030281976097,0.01630036013035504
SIT-SEA,SIT,SEA,120,0.23718842640519142,0.175,44.16597766876221,0.005762212640666937
MDW-RSW,MDW,RSW,168,0.23713365099614575,0.31547619047619047,34.077046632766724,0.007547475210251822
PHL-GRR,PHL,GRR,140,0.23712713037218366,0.22857142857142856,60.25025149754116,0.015988817487500216
DEN-JAX,DEN,JAX,172,0.23709248716748038,0.36627906976744184,42.725615944973256,0.00511772662325394
DEN-EGE,DEN,EGE,181,0.2370753504788678,0.2265193370165746,53.29926271596666,0.002767552622941906
DFW-PVU,DFW,PVU,119,0.23704302573905273,0.226890756302521,60.638182728230454,0.014680148682511244
SJU-JAX,SJU,JAX,119,0.23696384948341787,0.2184873949579832,56.806600137918934,0.008794720961966297
MCO-TTN,MCO,TTN,106,0.23690653325251812,0.3113207547169811,55.08359070543973,0.012354126627641645
LAS-COS,LAS,COS,148,0.23681527753738132,0.2635135135135135,37.551828010662184,0.004597553165277114
DAL-OKC,DAL,OKC,121,0.23681276082253652,0.4380165289256198,41.78943544182896,0.008626090893216554
JFK-PWM,JFK,PWM,100,0.23665920093655587,0.39,50.02264030456543,0.010456046136958455
DCA-DTW,DCA,DTW,435,0.23650300108838354,0.3264367816091954,49.06911100628732,0.010894847178083455
FLL-TPA,FLL,TPA,160,0.23642465458251535,0.26875,57.79809831380844,0.008197808423618147
DFW-GJT,DFW,GJT,178,0.23637339313713351,0.20224719101123595,44.23275031400531,0.007735347710447488
DEN-CMH,DEN,CMH,320,0.2363411619560793,0.334375,44.57408609390259,0.004864909815256748
EWR-PBI,EWR,PBI,419,0.23630479552509676,0.22673031026252982,57.10065130629801,0.010947810832818372
MKE-DCA,MKE,DCA,217,0.23621473430488515,0.2903225806451613,52.95052854476437,0.013932081450040696
PHX-TUL,PHX,TUL,184,0.23616354333479767,0.375,43.8583242478578,0.004631813985685332
BWI-SFO,BWI,SFO,165,0.23615315344297524,0.5333333333333333,41.52593960617528,0.00482179825923529
DFW-HOU,DFW,HOU,318,0.23613448790128125,0.31446540880503143,49.959028558911015,0.010067775895568861
MDW-SAN,MDW,SAN,204,0.23611554868665396,0.39215686274509803,38.21359438989677,0.006548327435048644
TYS-DFW,TYS,DFW,328,0.23607621021659636,0.2865853658536585,63.556862458950135,0.01400720111546618
STT-MIA,STT,MIA,127,0.23592725842017828,0.16535433070866143,48.217848529965856,0.007929724762932612
LGA-DAL,LGA,DAL,267,0.23586147976167193,0.2883895131086142,49.017686390251704,0.010307676818394151
AUS-SJC,AUS,SJC,175,0.2358518671137946,0.41714285714285715,39.21669965744019,0.0018649526623035358
DEN-MKE,DEN,MKE,479,0.23583693492823204,0.30062630480167013,51.927020196377114,0.005320665552107664
DFW-MGM,DFW,MGM,162,0.23583601704902118,0.2716049382716049,54.59995345127435,0.02013857610128279
CLT-BTV,CLT,BTV,158,0.2357459656799896,0.31645569620253167,51.14648862428303,0.008859782118463154
SEA-ANC,SEA,ANC,1379,0.23553043090082582,0.24437998549673676,38.67542320718966,0.008146705278927866
DEN-RSW,DEN,RSW,163,0.23549883131600596,0.25766871165644173,43.25289193837921,0.00514877809960098
ROC-MDW,ROC,MDW,117,0.23548451951171598,0.3076923076923077,43.42848629421658,0.007549388238732688
PHL-DEN,PHL,DEN,640,0.235420699918177,0.3453125,52.89061673507094,0.00664333300066213
ORD-JFK,ORD,JFK,370,0.23539212891781652,0.2702702702702703,56.132938900509394,0.01478451892048974
MCO-ORD,MCO,ORD,849,0.235371331909169,0.27326266195524146,60.70056004967931,0.009407346434612256
ORD-LAN,ORD,LAN,119,0.23531391352665523,0.20168067226890757,77.725257168297,0.010755609640790547
BOS-JFK,BOS,JFK,775,0.23528873330162417,0.3096774193548387,55.81444591276107,0.017145906553833006
ORD-DEN,ORD,DEN,1062,0.23521413888410436,0.2664783427495292,59.783080060603254,0.006079950621308878
MCO-MCI,MCO,MCI,254,0.23517058194270285,0.3188976377952756,45.83665318376436,0.005584573188760117
TPA-ORD,TPA,ORD,422,0.23516226958889533,0.2559241706161137,51.02081285042785,0.008519895699211076
SAN-PHX,SAN,PHX,1026,0.23511479487806036,0.3489278752436647,43.38302060363353,0.007670361981286692
BOS-CVG,BOS,CVG,362,0.2350630265408458,0.22375690607734808,40.126734064428845,0.009939949210953487
ORF-MCO,ORF,MCO,125,0.23505464982986451,0.272,44.797415668487545,0.007119197094094331
ORD-ECP,ORD,ECP,153,0.23504271294945986,0.21568627450980393,58.50630742740008,0.008209760041119387
DFW-DTW,DFW,DTW,587,0.2350094878896944,0.3270868824531516,53.87929339790669,0.010020947063083548
PBI-JFK,PBI,JFK,281,0.23495512405324237,0.24555160142348753,57.257098606896996,0.014175721096815213
BUF-BOS,BUF,BOS,333,0.23492199238445666,0.2222222222222222,60.968880948361694,0.012340413890673186
BWI-SAN,BWI,SAN,204,0.23490354258055782,0.3872549019607843,33.57339559583103,0.00505970007936029
DTW-ALB,DTW,ALB,155,0.23484142836063138,0.23225806451612904,55.45731402981666,0.007575935813992356
SEA-CLE,SEA,CLE,118,0.23478418260307635,0.1864406779661017,31.768907013586013,0.008090501635382741
BNA-SRQ,BNA,SRQ,132,0.23473587067741336,0.38636363636363635,44.23228602698355,0.0035751367386458724
MDW-DEN,MDW,DEN,442,0.23473186808642488,0.3054298642533937,39.28952623600334,0.006279421136663347
RNO-SFO,RNO,SFO,295,0.2346632840522265,0.6271186440677966,59.10979263822911,0.007753814320470131
MCO-EWR,MCO,EWR,752,0.23462743895187815,0.2845744680851064,60.25931354659669,0.011216930401860736
CLT-SHV,CLT,SHV,119,0.23457201689231297,0.3277310924369748,65.76028583430443,0.009456836450539652
ORD-SAV,ORD,SAV,247,0.23455627157017286,0.19838056680161945,54.91239041162406,0.008320743807416875
DEN-LAS,DEN,LAS,1171,0.23453338369154503,0.33561058923996584,47.74482963677658,0.00411649114158845
SBA-SFO,SBA,SFO,302,0.23445307784127872,0.47019867549668876,49.71782959060164,0.0067481859826131274
JFK-DFW,JFK,DFW,341,0.2344489519066475,0.2903225806451613,57.4424887290798,0.013215094501512982
TPA-FLL,TPA,FLL,159,0.23435120312672741,0.2138364779874214,46.23788695665276,0.008273099366777453
LAS-TUS,LAS,TUS,174,0.23428970010116182,0.367816091954023,47.03873834938839,0.0033824196770521147
RIC-ORD,RIC,ORD,365,0.23427379443629148,0.2136986301369863,54.64421993412384,0.012819238767968779
SAV-JFK,SAV,JFK,103,0.2342685421983015,0.39805825242718446,72.15022333385875,0.012014668082677517
JFK-SFO,JFK,SFO,1185,0.23426581331949195,0.37721518987341773,54.80929722846309,0.009539575796590972
BWI-CLE,BWI,CLE,168,0.23424489791726782,0.32142857142857145,38.01658864248367,0.007342539062457425
DCA-ACK,DCA,ACK,128,0.2341835271799937,0.3671875,45.61183850467205,0.010427780623193567
MDW-PHX,MDW,PHX,398,0.2341398928950929,0.32663316582914576,38.000937859616684,0.00593549601332604
DAL-PHX,DAL,PHX,434,0.2340694059991205,0.42857142857142855,37.94739134190819,0.005978265212086792
LGA-STL,LGA,STL,375,0.2340578100482623,0.232,51.19353163401286,0.009787568437875998
BNA-CLE,BNA,CLE,175,0.23405633470841816,0.3485714285714286,46.1510058266776,0.00500842888972589
BWI-BOS,BWI,BOS,601,0.23404838050562213,0.27287853577371046,46.50399316924186,0.011814006736982543
CLT-BOS,CLT,BOS,695,0.23398445079223715,0.25611510791366904,52.48881986055443,0.014056832777477508
CLT-SAV,CLT,SAV,294,0.23395493717826144,0.3877551020408163,47.221907693512584,0.011238320665215967
GRB-MSP,GRB,MSP,183,0.23394020642739177,0.09289617486338798,68.6269751064113,0.007548675743883343
AUS-RDU,AUS,RDU,111,0.23393230824857145,0.3333333333333333,36.92133363087972,0.005284128681523725
LGA-RIC,LGA,RIC,328,0.23366321362100723,0.22560975609756098,57.64905125338857,0.02658989288265238
SYR-DEN,SYR,DEN,113,0.233601082610873,0.2920353982300885,54.91461321737914,0.004311579518613562
IAD-LGA,IAD,LGA,111,0.23351804563054093,0.36936936936936937,66.27875278232334,0.018017943979042474
DEN-PHX,DEN,PHX,1367,0.23334694296481318,0.3394294074615947,42.77012063084332,0.004382548160814664
TPA-LGA,TPA,LGA,364,0.23334624956024216,0.25,49.250206818947426,0.014198732968604114
DAL-COS,DAL,COS,122,0.23329217823558165,0.39344262295081966,38.06274786933524,0.006468838155193285
DFW-PIA,DFW,PIA,171,0.23325139876694706,0.24561403508771928,50.79135533383018,0.012613885640556918
DEN-LBF,DEN,LBF,103,0.23320710311815576,0.3592233009708738,62.79117173130072,0.008421740427505799
SEA-FLL,SEA,FLL,121,0.23320274313619313,0.19834710743801653,38.20868654487547,0.008010863849404649
MCO-CMH,MCO,CMH,297,0.23319104578509073,0.2828282828282828,42.15389539416792,0.007392187361392949
ORD-BHM,ORD,BHM,117,0.23318038893561077,0.27350427350427353,47.786706875532104,0.006984318911907126
CHS-LGA,CHS,LGA,231,0.2330905023913879,0.2510822510822511,60.37843661287646,0.021027627489582666
MDW-LAX,MDW,LAX,224,0.2330759620360498,0.375,38.27470352819988,0.005855083458364603
PHL-IND,PHL,IND,317,0.23305521388347217,0.2902208201892745,53.245359017645896,0.012787069174900781
PHX-RDU,PHX,RDU,163,0.23301240417854918,0.4233128834355828,46.12014834866202,0.0073083201030561
SAV-BOS,SAV,BOS,151,0.23297966168021525,0.2781456953642384,72.64329981014428,0.012632338917287796
BWI-MCO,BWI,MCO,714,0.23297280120645084,0.32633053221288516,49.24255902827287,0.007050816012856861
ORF-BOS,ORF,BOS,128,0.23296751629095525,0.3046875,40.3203568905592,0.01069121245518887
PHL-MSY,PHL,MSY,194,0.23294906003266266,0.30927835051546393,54.10134437403728,0.011348632989052813
BOS-JAX,BOS,JAX,278,0.2328741225621683,0.25539568345323743,59.097165320417005,0.010163426874493509
STL-ORD,STL,ORD,582,0.23284962766922215,0.26288659793814434,53.857575446060025,0.010092127876778606
BNA-IND,BNA,IND,122,0.232789795662536,0.27049180327868855,40.67355743783419,0.0053942855504784185
MDW-MHT,MDW,MHT,119,0.23276102474006286,0.2773109243697479,40.82430751383806,0.005413756853279968
OAK-LAX,OAK,LAX,326,0.23270161001960193,0.2791411042944785,37.91051021382852,0.0042456246248060246
DCA-RSW,DCA,RSW,109,0.23268763187828415,0.28440366972477066,48.50351183130107,0.00896146388258785
JAX-DCA,JAX,DCA,225,0.23262525144550536,0.27111111111111114,52.62259582095676,0.01217272438100961
MYR-ORD,MYR,ORD,146,0.23260494546122748,0.2534246575342466,50.51157784135374,0.008341339055991529
SFO-BFL,SFO,BFL,122,0.2325482004490055,0.45901639344262296,60.549717199606974,0.013798600986416712
MSP-MOT,MSP,MOT,238,0.2324816458741156,0.23109243697478993,47.46066185606628,0.008516796730428076
LAW-DFW,LAW,DFW,176,0.2324524297463623,0.17045454545454544,61.08607925068248,0.018830411648120503
MSP-RSW,MSP,RSW,165,0.2323601496039015,0.18787878787878787,43.6030643231941,0.0070893646403592785
MGM-DFW,MGM,DFW,163,0.23224316007154852,0.2883435582822086,68.38263517508477,0.01786014332576504
SJC-SAN,SJC,SAN,935,0.23223356914552137,0.40106951871657753,43.477726445733545,0.0052417922078648645
MSN-DFW,MSN,DFW,178,0.2322236496243584,0.3089887640449438,66.0805223229226,0.010031282871060974
MCI-BOS,MCI,BOS,160,0.23213332369923592,0.3375,51.12992871999741,0.009042571575889375
ORF-DFW,ORF,DFW,171,0.23212339162652257,0.34502923976608185,41.05805566575792,0.009940477742606566
DAL-MCO,DAL,MCO,468,0.2320796933232082,0.3995726495726496,45.243196573012916,0.00791407139243833
BWI-DFW,BWI,DFW,250,0.23202591133117675,0.32,56.14826752471924,0.01119479275957653
DTW-PLN,DTW,PLN,117,0.23196030147055274,0.15384615384615385,72.95847962860368,0.021436881743559316
ATL-DFW,ATL,DFW,1087,0.23192253945996813,0.35510579576816925,51.575206270542516,0.01114516820652334
DEN-MOT,DEN,MOT,233,0.23188650870272018,0.2875536480686695,44.202836048961196,0.0077473245600753644
CID-ORD,CID,ORD,411,0.23179322816522163,0.25060827250608275,68.71920481215429,0.011666302902436037
PHL-BTV,PHL,BTV,212,0.23175369976264126,0.3490566037735849,65.20338493922971,0.010765669002008121
ORF-ORD,ORF,ORD,370,0.23174506711798745,0.21081081081081082,50.40357934075433,0.01022325153101611
PHX-BWI,PHX,BWI,148,0.23171462433261647,0.3108108108108108,31.372618295050955,0.0061952939784364
LAN-DTW,LAN,DTW,116,0.2316856087538703,0.23275862068965517,63.28946996557301,0.007840589471643084
DTW-MEM,DTW,MEM,174,0.23164187226144747,0.22988505747126436,60.118653231653674,0.007087040108495525
HPN-MCO,HPN,MCO,189,0.23162117695051526,0.26455026455026454,80.44841661402788,0.00895898004584923
BOS-LAX,BOS,LAX,917,0.23161010125666173,0.2835332606324973,51.951011689954655,0.006508940133827332
LAS-SAT,LAS,SAT,295,0.23155891977376858,0.376271186440678,49.11752385123302,0.00420531597531711
PNS-ORD,PNS,ORD,117,0.23148540388315153,0.3162393162393162,62.0675546368982,0.010570290738899932
LIT-ORD,LIT,ORD,329,0.23120513200578718,0.2826747720364742,59.170454877488154,0.010383702701567644
LAS-IND,LAS,IND,249,0.23113374011104845,0.3132530120481928,43.52648519416411,0.004473384402692318
PHL-MKE,PHL,MKE,157,0.2310596050540353,0.3375796178343949,58.31871443341492,0.012652066633473713
OMA-ORD,OMA,ORD,554,0.2310160861925528,0.2328519855595668,51.085775117151144,0.011304750894418075
JFK-PIT,JFK,PIT,272,0.23093068342217626,0.35661764705882354,49.889231969328485,0.015094661782877368
LAS-HOU,LAS,HOU,315,0.23086864054203032,0.37142857142857144,44.199054820953855,0.003898906218380017
LGA-JAX,LGA,JAX,129,0.2308585510350937,0.21705426356589147,48.60962709530379,0.016363541647021113
CLT-OMA,CLT,OMA,175,0.23075547175748007,0.32,52.297786069597514,0.006380398325913445
MSP-SFO,MSP,SFO,371,0.2307105864476001,0.48247978436657685,52.07124367685652,0.005705146489268284
PIE-AVL,PIE,AVL,102,0.23066215764950304,0.24509803921568626,39.45859213903839,0.004056901963693755
DAL-TUL,DAL,TUL,167,0.2306162539178026,0.41916167664670656,37.71791809333299,0.006321678374486858
MKE-CLT,MKE,CLT,168,0.2305366580507585,0.26785714285714285,42.409135557356336,0.009368775967966047
DCA-MDW,DCA,MDW,333,0.2305225012516295,0.3063063063063063,35.32400452983272,0.008560037469247949
DEN-PNS,DEN,PNS,153,0.2304880822600882,0.3333333333333333,46.53975845785702,0.004453718794449683
SAN-OAK,SAN,OAK,585,0.23045571659747352,0.305982905982906,38.1163270770994,0.007018735818326904
SAN-MIA,SAN,MIA,119,0.23044847027093424,0.16806722689075632,49.23079565993878,0.011315686922123442
MEM-DCA,MEM,DCA,161,0.23042855198894227,0.2857142857142857,46.645758350443394,0.013172239239124217
SEA-OGG,SEA,OGG,304,0.23041946703175964,0.14802631578947367,33.55202789055674,0.006670923917325305
FLL-BWI,FLL,BWI,434,0.23038884838570922,0.3686635944700461,43.23334860801697,0.00850713823042396
DAL-LBB,DAL,LBB,225,0.23038530515299904,0.4,38.52281091901991,0.00591968566011063
HOU-PHX,HOU,PHX,298,0.23032547378500037,0.3859060402684564,36.46408478205636,0.004009753298014403
DFW-BPT,DFW,BPT,121,0.23031048094930728,0.2231404958677686,50.80600757441245,0.018601676359051657
AZO-ORD,AZO,ORD,114,0.23028144854725452,0.24561403508771928,77.92966886152301,0.01159181935340166
JFK-ATL,JFK,ATL,656,0.23017120673661914,0.2606707317073171,55.65661959822585,0.011647189825347954
CMI-ORD,CMI,ORD,176,0.23014913812618365,0.2215909090909091,52.252761429006405,0.014272535441168507
DEN-GEG,DEN,GEG,373,0.23010920944945742,0.29222520107238603,36.209935359596884,0.003707399559913183
DAL-HOU,DAL,HOU,647,0.23009628977574742,0.3029366306027821,33.50432881026585,0.007196349295861963
BWI-MKE,BWI,MKE,165,0.23009485444336225,0.34545454545454546,32.259755140362365,0.006956762055545087
DCA-OMA,DCA,OMA,110,0.23005892891775478,0.43636363636363634,41.23749854347923,0.006485045636155173
CLT-SBN,CLT,SBN,168,0.23004584644167198,0.375,42.670255831309724,0.008831988955133183
FLL-HOU,FLL,HOU,148,0.2300007284895794,0.4391891891891892,39.52440880762564,0.0047154652717329515
MDW-DSM,MDW,DSM,121,0.2299600152437352,0.32231404958677684,45.496859873621915,0.012995030818751356
LAX-TPA,LAX,TPA,167,0.2299413180904474,0.2934131736526946,41.43178284239626,0.005894203616592746
SEA-ORD,SEA,ORD,1152,0.22974876132664374,0.2847222222222222,43.7884093787935,0.009241330547907836
PHL-SFO,PHL,SFO,455,0.22971994151453395,0.3978021978021978,50.18388188959478,0.007893210714522364
BWI-ROC,BWI,ROC,177,0.22971105655539506,0.327683615819209,35.22998483302229,0.008337075844956715
BNA-FLL,BNA,FLL,317,0.22969497336010075,0.35331230283911674,42.25134882340296,0.005839592403947161
COU-ORD,COU,ORD,316,0.2296876811387041,0.18670886075949367,74.79760307601735,0.01475990072068246
LGA-MSY,LGA,MSY,219,0.22965774300708075,0.3105022831050228,53.65737677709153,0.010963027959073945
