year_month,carrier_code,completed_flights,mean_delay_prob,observed_delay_rate,mean_p50_min,mean_p90_min,mean_cancel_prob,observed_cancel_rate
2026-06,AA,83677,0.23234846380040158,0.3008353549959965,-4.066500175277202,52.65419304702963,0.009825581065130646,0.026380921539600297
2026-06,AS,29653,0.19941692155554167,0.1935385964320642,-4.74234933281763,34.69846263874306,0.007274647394811584,0.006557157672878124
2026-06,B6,20399,0.26096019373103724,0.2494239913721261,-3.0822931390112265,62.977380241130554,0.011351102672085214,0.015189386656412228
2026-06,DL,88966,0.16681280950309985,0.17718004630982623,-7.003786096120083,35.24618652556286,0.00834150238057225,0.011180427050206655
2026-06,F9,18662,0.235818567350922,0.28683956703461577,-5.468537133979474,55.743159784354425,0.008481874651811291,0.019995812395309884
2026-06,G4,12551,0.21748511400274115,0.3120866863198152,-5.280951222964588,46.92155815595536,0.004840589372706419,0.00544894574745321
2026-06,MQ,28100,0.1895353542908602,0.21259786476868328,-6.382593422548457,39.61745726782232,0.009943699143877438,0.033998698942034444
2026-06,OH,19346,0.23074112145141018,0.27607774216892383,-6.545762370768686,54.43818573366089,0.014776971932843483,0.0688515164582435
2026-06,OO,72322,0.19498371811275764,0.22385995962501037,-6.5995647377944495,50.5586737989209,0.008392455446699941,0.014048565960392546
2026-06,UA,72045,0.18802597112547756,0.25295301547643834,-5.89817865798429,39.956200365084,0.0062063878877515,0.006209558874036626
2026-06,WN,119743,0.21272703538696563,0.3402119539346768,-1.9314420809937227,35.6877164516659,0.005591990175647171,0.00615216690233435
2026-06,YX,29730,0.21411682815825722,0.186209216279852,-6.6203750087430695,47.353957623293454,0.01550836742303223,0.03572814278323849
2026-07,AA,86614,0.240708124493485,0.3307779342831413,-3.485682193726943,55.64118122311838,0.009711476776242777,0.022937219730941705
2026-07,AS,31318,0.2077800342910079,0.23197522191710837,-4.231032970286979,36.68207314361732,0.0070802231085139306,0.008111861624897418
2026-07,B6,20882,0.25903061745723466,0.37774159563260223,-2.93450016119809,63.83397345542451,0.010858206689181096,0.09776080988332189
2026-07,DL,91298,0.16959603902140774,0.2590308659554426,-6.6561323151177065,36.83043808083552,0.00819865786006246,0.024017420862545144
2026-07,F9,19714,0.24455192534426284,0.35051232626559803,-4.859361719016055,58.34668361467027,0.00825188481916419,0.03398105653744751
2026-07,G4,13184,0.22372852661929463,0.3077214805825243,-4.742753833185675,48.37004530354792,0.004779135489207689,0.00548295027790296
2026-07,MQ,29270,0.1956181672361317,0.18780321147933038,-5.714021510020521,42.65690525106737,0.009760359660306379,0.01480859637340497
2026-07,OH,19973,0.23391407784840193,0.36479246983427627,-6.056304018961634,56.73748402991114,0.014694673987068621,0.06599292101341282
2026-07,OO,75556,0.20352414800726365,0.23900153528508655,-6.005254074939795,52.016119642639254,0.008368455017763878,0.015479032592900146
2026-07,UA,72446,0.19441572378597768,0.2657427601247826,-5.395708844974483,43.168707590536506,0.006158209897089738,0.019545943041375604
2026-07,WN,122864,0.2201300376622802,0.3081618700351608,-1.3127245643965906,38.52414338478824,0.005580395819417683,0.011352544922156264
2026-07,YX,28919,0.21703364862325347,0.24506379888654517,-6.158243734186154,49.251122966091835,0.015391968357596991,0.0932921887662864
