flight_id,date_key,carrier_code,origin_airport,route,delay_prob,delay_pred,delay_p50,delay_p90,cancel_prob,arr_del15,cancelled
8090830387461791688,20260601,UA,EWR,EWR-PDX,0.1157727,0,-12.665203,13.900253,0.008665803,0,0
12783946814010927107,20260601,F9,LAS,LAS-ATL,0.14316992,0,-9.826703,41.81685,0.008365525,1,0
7478298614417641443,20260601,YX,SDF,SDF-ORD,0.24328545,1,-10.396379,29.897026,0.021913785,0,0
5363069878712747182,20260601,OO,GUC,GUC-DEN,0.11854199,0,-12.775964,27.06011,0.009112604,1,0
17689118112917200614,20260601,WN,LGB,LGB-AUS,0.08301887,0,-7.436668,14.774815,0.004278079,0,0
9523786385450454841,20260601,DL,SEA,SEA-MCO,0.11854199,0,-8.774101,26.825323,0.008689044,0,0
1946353742963761441,20260601,AA,TPA,TPA-MIA,0.23073286,1,-4.28436,61.514946,0.009971779,1,0
14901973351297372187,20260601,OO,TUS,TUS-SFO,0.14316992,0,-10.807806,36.351048,0.00657017,1,0
2521373402690278296,20260601,AA,PHX,PHX-DFW,0.27911416,1,-2.1778488,65.4771,0.012052201,0,0
953078041553389505,20260601,WN,ABQ,ABQ-BUR,0.19670747,0,-6.2058625,33.291985,0.00857197,0,0
6100851840088189515,20260601,UA,LAX,LAX-IAD,0.10879669,0,-11.475361,11.706078,0.0062853694,0,0
6034559703034425066,20260601,DL,DTW,DTW-ORD,0.3370125,1,1.9300979,50.22512,0.013716855,0,0
17318305195623620430,20260601,AA,STL,STL-CLT,0.14678898,0,-13.492727,29.144453,0.008573362,1,0
16826907638790134551,20260601,DL,ATL,ATL-SFO,0.27479208,1,-1.4476117,48.36396,0.006945881,0,0
11372910610193408021,20260601,UA,LAS,LAS-DEN,0.06308771,0,-14.253889,6.847566,0.0044777947,0,0
17780725668515763805,20260601,UA,IAH,IAH-FLL,0.1868743,0,-9.652421,31.820763,0.008123404,1,0
51041025087347589,20260601,AS,AUS,AUS-SEA,0.17293233,0,-8.525996,28.822075,0.0074432315,0,0
3187197369782830164,20260601,UA,EWR,EWR-BZN,0.14316992,0,-9.278834,33.66768,0.0046848794,0,0
13132835367044984200,20260601,DL,HSV,HSV-ATL,0.07552722,0,-16.310978,12.349986,0.009143139,0,0
17593490620902436965,20260601,B6,BDL,BDL-SJU,0.3832008,1,9.594865,105.862625,0.016420534,0,0
3849693663402223797,20260601,AA,OKC,OKC-DFW,0.10879669,0,-11.173089,20.878515,0.021349723,0,0
872845353468804217,20260601,UA,EWR,EWR-LAX,0.24328545,1,-4.107029,37.989826,0.006204558,0,0
6420704468651027214,20260601,YX,IAD,IAD-LGA,0.23116963,1,-8.377345,63.509987,0.029439365,0,0
13216834277603308957,20260601,MQ,YUM,YUM-PHX,0.23073286,1,-1.036968,65.08051,0.011853326,0,0
13388093374687114360,20260601,OO,DAY,DAY-ORD,0.24328545,1,-6.601873,87.62051,0.022699777,0,0
16256985467454567359,20260601,DL,DEN,DEN-SLC,0.06308771,0,-11.681967,10.702331,0.0062459256,0,0
750785500472771548,20260601,AA,ORD,ORD-SAN,0.1868743,0,-7.029955,41.28888,0.010440235,1,0
11954451677077963522,20260601,WN,LAX,LAX-SFO,0.07552722,0,-7.1935115,13.912528,0.006607149,0,0
10206376706791541359,20260601,OO,DTW,DTW-ALB,0.24328545,1,-4.740896,64.304184,0.008913686,0,0
5348465122511334447,20260601,OO,PDX,PDX-SEA,0.16029368,0,-5.4472637,22.497961,0.006765382,1,0
