route,origin,dest,distance_mi,scheduled_flights,route_segment
ABE-ATL,ABE,ATL,692.0,55,
ABE-BNA,ABE,BNA,684.0,66,
ABE-CLT,ABE,CLT,481.0,856,"Thin route - reliable, short delay tail"
ABE-DEN,ABE,DEN,1539.0,46,
ABE-FLL,ABE,FLL,1041.0,108,
ABE-MCO,ABE,MCO,906.0,108,
ABE-MLB,ABE,MLB,914.0,105,
ABE-MYR,ABE,MYR,518.0,229,
ABE-ORD,ABE,ORD,654.0,453,"Thin route - long delay tail, high average delay"
ABE-PGD,ABE,PGD,1018.0,244,
ABE-PIE,ABE,PIE,970.0,280,
ABE-RSW,ABE,RSW,1038.0,75,
ABE-SFB,ABE,SFB,882.0,643,"Thin route - reliable, short delay tail"
ABE-SRQ,ABE,SRQ,1000.0,107,
ABI-DEN,ABI,DEN,584.0,274,
ABI-DFW,ABI,DFW,158.0,1750,"Thin route - reliable, short delay tail"
ABI-IAH,ABI,IAH,306.0,137,
ABI-PHX,ABI,PHX,720.0,57,
ABQ-ATL,ABQ,ATL,1269.0,997,"Thin route - reliable, short delay tail"
ABQ-AUS,ABQ,AUS,619.0,830,"Thin route - reliable, short delay tail"
ABQ-BNA,ABQ,BNA,1123.0,253,
ABQ-BUR,ABQ,BUR,672.0,327,"Thin route - reliable, short delay tail"
ABQ-BWI,ABQ,BWI,1670.0,400,"Thin route - long-haul, rarely cancels"
ABQ-CLT,ABQ,CLT,1449.0,6,
ABQ-DAL,ABQ,DAL,580.0,1628,"Thin route - reliable, short delay tail"
ABQ-DEN,ABQ,DEN,349.0,3200,"Thin route - reliable, short delay tail"
ABQ-DFW,ABQ,DFW,569.0,2278,"Trunk route - multi-carrier, unreliable"
ABQ-DTW,ABQ,DTW,1347.0,4,
ABQ-HOU,ABQ,HOU,759.0,970,"Thin route - reliable, short delay tail"
ABQ-IAD,ABQ,IAD,1628.0,272,
ABQ-IAH,ABQ,IAH,744.0,474,"Thin route - reliable, short delay tail"
ABQ-JFK,ABQ,JFK,1826.0,160,
ABQ-LAS,ABQ,LAS,486.0,1719,"Thin route - reliable, short delay tail"
ABQ-LAX,ABQ,LAX,677.0,2218,"Thin route - reliable, short delay tail"
ABQ-LGB,ABQ,LGB,664.0,96,
ABQ-MCI,ABQ,MCI,718.0,206,
ABQ-MCO,ABQ,MCO,1553.0,34,
ABQ-MDW,ABQ,MDW,1121.0,449,"Thin route - reliable, short delay tail"
ABQ-MSP,ABQ,MSP,981.0,173,
ABQ-OAK,ABQ,OAK,889.0,353,"Thin route - reliable, short delay tail"
ABQ-ORD,ABQ,ORD,1118.0,1146,"Trunk route - multi-carrier, unreliable"
ABQ-PDX,ABQ,PDX,1111.0,7,
ABQ-PHL,ABQ,PHL,1747.0,6,
ABQ-PHX,ABQ,PHX,328.0,3307,"Trunk route - multi-carrier, unreliable"
ABQ-SAN,ABQ,SAN,628.0,684,"Thin route - reliable, short delay tail"
ABQ-SAT,ABQ,SAT,609.0,9,
ABQ-SEA,ABQ,SEA,1180.0,548,"Thin route - reliable, short delay tail"
ABQ-SFO,ABQ,SFO,896.0,713,"Thin route - reliable, short delay tail"
ABQ-SLC,ABQ,SLC,493.0,1154,"Thin route - reliable, short delay tail"
ABR-MSP,ABR,MSP,257.0,754,"Thin route - reliable, short delay tail"
ABY-ATL,ABY,ATL,145.0,308,"Thin route - reliable, short delay tail"
ACK-BOS,ACK,BOS,91.0,284,
ACK-CLT,ACK,CLT,723.0,23,
ACK-DCA,ACK,DCA,405.0,283,
ACK-HPN,ACK,HPN,191.0,234,
ACK-JFK,ACK,JFK,199.0,301,"Thin route - long delay tail, high average delay"
ACK-LGA,ACK,LGA,202.0,412,"Thin route - long delay tail, high average delay"
ACK-ORD,ACK,ORD,924.0,31,
ACK-PHL,ACK,PHL,288.0,122,
ACT-BHM,ACT,BHM,626.0,1,
ACT-DFW,ACT,DFW,90.0,1073,"Thin route - reliable, short delay tail"
ACV-DEN,ACV,DEN,1026.0,370,"Thin route - long delay tail, high average delay"
ACV-LAX,ACV,LAX,577.0,423,"Thin route - reliable, short delay tail"
ACV-SEA,ACV,SEA,456.0,115,
ACV-SFO,ACV,SFO,250.0,1292,"Thin route - long delay tail, high average delay"
ACY-FLL,ACY,FLL,977.0,550,"Thin route - long delay tail, high average delay"
ACY-MCO,ACY,MCO,852.0,517,"Thin route - reliable, short delay tail"
ACY-MIA,ACY,MIA,998.0,27,
ACY-MYR,ACY,MYR,466.0,116,
ACY-PBI,ACY,PBI,936.0,326,"Thin route - reliable, short delay tail"
ACY-PGD,ACY,PGD,964.0,28,
ACY-PIE,ACY,PIE,922.0,50,
ACY-RSW,ACY,RSW,982.0,288,
ACY-SFB,ACY,SFB,829.0,65,
ACY-TPA,ACY,TPA,914.0,304,"Thin route - reliable, short delay tail"
ADK-ANC,ADK,ANC,1192.0,104,
ADQ-ANC,ADQ,ANC,253.0,866,"Thin route - reliable, short delay tail"
AEX-DFW,AEX,DFW,285.0,1045,"Thin route - reliable, short delay tail"
AEX-IAH,AEX,IAH,190.0,143,
AGS-ATL,AGS,ATL,143.0,636,"Thin route - reliable, short delay tail"
AGS-AUS,AGS,AUS,949.0,2,
AGS-BOS,AGS,BOS,861.0,8,
AGS-CLT,AGS,CLT,140.0,92,
AGS-DCA,AGS,DCA,468.0,349,"Thin route - long delay tail, high average delay"
AGS-DFW,AGS,DFW,874.0,665,"Thin route - long delay tail, high average delay"
AGS-DTW,AGS,DTW,615.0,9,
AGS-LAX,AGS,LAX,2090.0,1,
AGS-LGA,AGS,LGA,678.0,19,
AGS-MIA,AGS,MIA,531.0,9,
AGS-MSP,AGS,MSP,996.0,9,
AGS-ORD,AGS,ORD,677.0,12,
AGS-PHL,AGS,PHL,584.0,13,
AGS-PHX,AGS,PHX,1731.0,3,
AKN-ANC,AKN,ANC,288.0,171,
ALB-ATL,ALB,ATL,853.0,1044,"Thin route - reliable, short delay tail"
ALB-BNA,ALB,BNA,825.0,436,"Thin route - reliable, short delay tail"
ALB-BWI,ALB,BWI,288.0,1764,"Thin route - reliable, short delay tail"
ALB-CLT,ALB,CLT,646.0,1111,"Thin route - reliable, short delay tail"
ALB-DCA,ALB,DCA,318.0,1185,"Thin route - long delay tail, high average delay"
ALB-DEN,ALB,DEN,1610.0,318,"Thin route - long-haul, rarely cancels"
ALB-DFW,ALB,DFW,1434.0,203,
ALB-DTW,ALB,DTW,489.0,1095,"Thin route - reliable, short delay tail"
ALB-FLL,ALB,FLL,1204.0,589,"Thin route - long delay tail, high average delay"
ALB-LAS,ALB,LAS,2237.0,154,
ALB-MCO,ALB,MCO,1073.0,1040,"Thin route - reliable, short delay tail"
ALB-MDW,ALB,MDW,717.0,728,"Thin route - reliable, short delay tail"
ALB-MIA,ALB,MIA,1225.0,22,
ALB-MYR,ALB,MYR,685.0,119,
ALB-ORD,ALB,ORD,723.0,2321,"Trunk route - multi-carrier, unreliable"
ALB-PGD,ALB,PGD,1185.0,185,
ALB-PIE,ALB,PIE,1138.0,137,
ALB-RSW,ALB,RSW,1204.0,11,
ALB-SFB,ALB,SFB,1049.0,104,
ALB-SRQ,ALB,SRQ,1167.0,94,
ALB-TPA,ALB,TPA,1130.0,260,
ALO-ORD,ALO,ORD,234.0,656,"Thin route - long delay tail, high average delay"
AMA-AUS,AMA,AUS,419.0,196,
AMA-DAL,AMA,DAL,323.0,1263,"Thin route - reliable, short delay tail"
AMA-DEN,AMA,DEN,359.0,685,"Thin route - reliable, short delay tail"
AMA-DFW,AMA,DFW,312.0,2364,"Thin route - reliable, short delay tail"
AMA-HOU,AMA,HOU,537.0,7,
AMA-IAH,AMA,IAH,518.0,126,
AMA-LAS,AMA,LAS,759.0,364,"Thin route - reliable, short delay tail"
ANC-ADK,ANC,ADK,1192.0,104,
ANC-ADQ,ANC,ADQ,253.0,866,"Thin route - reliable, short delay tail"
ANC-AKN,ANC,AKN,288.0,171,
ANC-ATL,ANC,ATL,3417.0,157,
ANC-BET,ANC,BET,399.0,723,"Thin route - reliable, short delay tail"
ANC-BOI,ANC,BOI,1842.0,15,
ANC-BOS,ANC,BOS,3383.0,7,
ANC-BRW,ANC,BRW,725.0,359,"Thin route - long delay tail, high average delay"
ANC-CDV,ANC,CDV,160.0,361,"Thin route - reliable, short delay tail"
ANC-DEN,ANC,DEN,2405.0,795,"Thin route - long-haul, rarely cancels"
ANC-DFW,ANC,DFW,3043.0,394,"Thin route - long-haul, rarely cancels"
ANC-DLG,ANC,DLG,329.0,116,
ANC-DTW,ANC,DTW,2986.0,116,
ANC-EWR,ANC,EWR,3370.0,104,
ANC-FAI,ANC,FAI,261.0,1417,"Thin route - reliable, short delay tail"
ANC-HNL,ANC,HNL,2777.0,440,"Thin route - long-haul, rarely cancels"
ANC-IAD,ANC,IAD,3356.0,110,
ANC-IAH,ANC,IAH,3266.0,127,
ANC-JFK,ANC,JFK,3386.0,72,
ANC-JNU,ANC,JNU,571.0,1230,"Thin route - reliable, short delay tail"
ANC-KOA,ANC,KOA,2875.0,55,
ANC-LAS,ANC,LAS,2304.0,274,
ANC-LAX,ANC,LAX,2345.0,389,"Thin route - long-haul, rarely cancels"
ANC-MSP,ANC,MSP,2519.0,781,"Thin route - long-haul, rarely cancels"
ANC-OGG,ANC,OGG,2797.0,29,
ANC-OME,ANC,OME,539.0,371,"Thin route - reliable, short delay tail"
ANC-ORD,ANC,ORD,2846.0,786,"Thin route - long-haul, rarely cancels"
ANC-OTZ,ANC,OTZ,549.0,361,"Thin route - reliable, short delay tail"
ANC-PDX,ANC,PDX,1542.0,1209,"Thin route - long-haul, rarely cancels"
ANC-PHX,ANC,PHX,2552.0,435,"Thin route - long-haul, rarely cancels"
ANC-SAN,ANC,SAN,2452.0,25,
ANC-SCC,ANC,SCC,626.0,513,"Thin route - reliable, short delay tail"
ANC-SEA,ANC,SEA,1448.0,6656,"Trunk route - multi-carrier, unreliable"
ANC-SFO,ANC,SFO,2018.0,294,
ANC-SLC,ANC,SLC,2125.0,128,
ANC-SMF,ANC,SMF,1973.0,18,
APN-DTW,APN,DTW,198.0,631,"Thin route - reliable, short delay tail"
ASE-ATL,ASE,ATL,1304.0,450,"Thin route - long delay tail, high average delay"
ASE-AUS,ASE,AUS,812.0,184,
ASE-CLT,ASE,CLT,1451.0,48,
ASE-DEN,ASE,DEN,125.0,2725,"Thin route - long delay tail, high average delay"
ASE-DFW,ASE,DFW,701.0,1185,"Thin route - long delay tail, high average delay"
ASE-IAH,ASE,IAH,913.0,626,"Thin route - long delay tail, high average delay"
ASE-LAX,ASE,LAX,737.0,1235,"Thin route - long delay tail, high average delay"
ASE-ORD,ASE,ORD,1013.0,1133,"Thin route - long delay tail, high average delay"
ASE-PHX,ASE,PHX,491.0,110,
ASE-SFO,ASE,SFO,848.0,376,"Thin route - long delay tail, high average delay"
ATL-ABE,ATL,ABE,692.0,55,
ATL-ABQ,ATL,ABQ,1269.0,997,"Thin route - reliable, short delay tail"
ATL-ABY,ATL,ABY,145.0,307,"Thin route - long delay tail, high average delay"
ATL-AGS,ATL,AGS,143.0,636,"Thin route - reliable, short delay tail"
ATL-ALB,ATL,ALB,853.0,1044,"Thin route - reliable, short delay tail"
ATL-ANC,ATL,ANC,3417.0,157,
ATL-ASE,ATL,ASE,1304.0,450,"Thin route - long delay tail, high average delay"
ATL-ATW,ATL,ATW,765.0,366,"Thin route - reliable, short delay tail"
ATL-AUS,ATL,AUS,813.0,4524,"Trunk route - multi-carrier, unreliable"
ATL-AVL,ATL,AVL,164.0,2018,"Thin route - reliable, short delay tail"
ATL-BDL,ATL,BDL,859.0,2318,"Thin route - reliable, short delay tail"
ATL-BGR,ATL,BGR,1134.0,38,
ATL-BHM,ATL,BHM,134.0,3334,"Thin route - reliable, short delay tail"
ATL-BMI,ATL,BMI,533.0,81,
ATL-BNA,ATL,BNA,214.0,4268,"Trunk route - multi-carrier, unreliable"
ATL-BOI,ATL,BOI,1838.0,545,"Thin route - long-haul, rarely cancels"
ATL-BOS,ATL,BOS,946.0,4977,"Trunk route - multi-carrier, unreliable"
ATL-BQK,ATL,BQK,238.0,4,
ATL-BTR,ATL,BTR,448.0,1080,"Thin route - reliable, short delay tail"
ATL-BTV,ATL,BTV,961.0,391,"Thin route - reliable, short delay tail"
ATL-BUF,ATL,BUF,712.0,1521,"Trunk route - multi-carrier, unreliable"
ATL-BUR,ATL,BUR,1941.0,364,"Thin route - long-haul, rarely cancels"
ATL-BWI,ATL,BWI,577.0,5404,"Trunk route - multi-carrier, unreliable"
ATL-BZN,ATL,BZN,1640.0,429,"Thin route - long-haul, rarely cancels"
ATL-CAE,ATL,CAE,192.0,1814,"Thin route - reliable, short delay tail"
ATL-CHA,ATL,CHA,106.0,1335,"Thin route - reliable, short delay tail"
ATL-CHO,ATL,CHO,457.0,235,
ATL-CHS,ATL,CHS,259.0,3221,"Thin route - reliable, short delay tail"
ATL-CID,ATL,CID,694.0,367,"Thin route - reliable, short delay tail"
ATL-CLE,ATL,CLE,554.0,3410,"Trunk route - multi-carrier, unreliable"
ATL-CLT,ATL,CLT,226.0,4380,"Trunk route - multi-carrier, unreliable"
ATL-CMH,ATL,CMH,447.0,3155,"Trunk route - multi-carrier, unreliable"
ATL-COS,ATL,COS,1184.0,589,"Thin route - reliable, short delay tail"
ATL-CRW,ATL,CRW,363.0,235,
ATL-CSG,ATL,CSG,83.0,14,
ATL-CVG,ATL,CVG,373.0,3016,"Thin route - reliable, short delay tail"
ATL-DAB,ATL,DAB,366.0,1455,"Thin route - reliable, short delay tail"
ATL-DAL,ATL,DAL,721.0,3350,"Thin route - reliable, short delay tail"
ATL-DAY,ATL,DAY,432.0,1402,"Thin route - reliable, short delay tail"
ATL-DCA,ATL,DCA,547.0,6800,"Trunk route - multi-carrier, unreliable"
ATL-DEN,ATL,DEN,1199.0,5595,"Trunk route - multi-carrier, unreliable"
ATL-DFW,ATL,DFW,731.0,6689,"Trunk route - multi-carrier, unreliable"
ATL-DHN,ATL,DHN,170.0,30,
ATL-DSM,ATL,DSM,743.0,1251,"Thin route - reliable, short delay tail"
ATL-DTW,ATL,DTW,594.0,4848,"Trunk route - multi-carrier, unreliable"
ATL-ECP,ATL,ECP,240.0,2428,"Thin route - reliable, short delay tail"
ATL-EGE,ATL,EGE,1312.0,186,
ATL-ELP,ATL,ELP,1282.0,724,"Thin route - reliable, short delay tail"
ATL-EVV,ATL,EVV,350.0,31,
ATL-EWR,ATL,EWR,746.0,6265,"Trunk route - multi-carrier, unreliable"
ATL-EYW,ATL,EYW,646.0,1460,"Thin route - reliable, short delay tail"
ATL-FAR,ATL,FAR,1123.0,209,
ATL-FAT,ATL,FAT,1997.0,30,
ATL-FAY,ATL,FAY,330.0,84,
ATL-FLL,ATL,FLL,581.0,7265,"Trunk route - multi-carrier, unreliable"
ATL-FSD,ATL,FSD,954.0,365,"Thin route - reliable, short delay tail"
ATL-FWA,ATL,FWA,508.0,522,"Thin route - reliable, short delay tail"
ATL-GEG,ATL,GEG,1969.0,538,"Thin route - long-haul, rarely cancels"
ATL-GNV,ATL,GNV,300.0,1591,"Thin route - reliable, short delay tail"
ATL-GPT,ATL,GPT,352.0,1317,"Thin route - reliable, short delay tail"
ATL-GRB,ATL,GRB,774.0,366,"Thin route - reliable, short delay tail"
ATL-GRR,ATL,GRR,640.0,1426,"Thin route - reliable, short delay tail"
ATL-GSO,ATL,GSO,306.0,2754,"Thin route - reliable, short delay tail"
ATL-GSP,ATL,GSP,153.0,2818,"Thin route - reliable, short delay tail"
ATL-HDN,ATL,HDN,1340.0,100,
ATL-HHH,ATL,HHH,238.0,197,
ATL-HNL,ATL,HNL,4502.0,383,"Thin route - long-haul, rarely cancels"
ATL-HOU,ATL,HOU,696.0,2879,"Thin route - reliable, short delay tail"
ATL-HPN,ATL,HPN,781.0,717,"Thin route - reliable, short delay tail"
ATL-HSV,ATL,HSV,151.0,2236,"Thin route - reliable, short delay tail"
ATL-IAD,ATL,IAD,534.0,3992,"Trunk route - multi-carrier, unreliable"
ATL-IAH,ATL,IAH,689.0,4926,"Trunk route - multi-carrier, unreliable"
ATL-ICT,ATL,ICT,782.0,1150,"Thin route - reliable, short delay tail"
ATL-ILM,ATL,ILM,377.0,1149,"Thin route - reliable, short delay tail"
ATL-IND,ATL,IND,432.0,3163,"Trunk route - multi-carrier, unreliable"
ATL-JAC,ATL,JAC,1572.0,209,
ATL-JAN,ATL,JAN,340.0,1956,"Thin route - reliable, short delay tail"
ATL-JAX,ATL,JAX,269.0,4045,"Trunk route - multi-carrier, unreliable"
ATL-JFK,ATL,JFK,760.0,4241,"Trunk route - multi-carrier, unreliable"
ATL-LAS,ATL,LAS,1747.0,4773,"Trunk route - multi-carrier, unreliable"
ATL-LAX,ATL,LAX,1947.0,4945,"Trunk route - multi-carrier, unreliable"
ATL-LEX,ATL,LEX,304.0,2055,"Thin route - reliable, short delay tail"
ATL-LFT,ATL,LFT,503.0,177,
ATL-LGA,ATL,LGA,762.0,8413,"Trunk route - multi-carrier, unreliable"
ATL-LIT,ATL,LIT,453.0,2294,"Thin route - reliable, short delay tail"
ATL-MCI,ATL,MCI,692.0,3272,"Trunk route - multi-carrier, unreliable"
ATL-MCO,ATL,MCO,404.0,8208,"Trunk route - multi-carrier, unreliable"
ATL-MDT,ATL,MDT,620.0,1002,"Thin route - reliable, short delay tail"
ATL-MDW,ATL,MDW,591.0,3526,"Trunk route - multi-carrier, unreliable"
ATL-MEM,ATL,MEM,332.0,3421,"Trunk route - multi-carrier, unreliable"
ATL-MGM,ATL,MGM,147.0,186,
ATL-MIA,ATL,MIA,594.0,6268,"Trunk route - multi-carrier, unreliable"
ATL-MKE,ATL,MKE,669.0,2264,"Thin route - reliable, short delay tail"
ATL-MLB,ATL,MLB,443.0,1449,"Thin route - reliable, short delay tail"
ATL-MOB,ATL,MOB,302.0,905,"Thin route - reliable, short delay tail"
ATL-MSN,ATL,MSN,707.0,1029,"Thin route - reliable, short delay tail"
ATL-MSP,ATL,MSP,907.0,3518,"Trunk route - multi-carrier, unreliable"
ATL-MSY,ATL,MSY,425.0,4025,"Trunk route - multi-carrier, unreliable"
ATL-MTJ,ATL,MTJ,1352.0,100,
ATL-MYR,ATL,MYR,317.0,1513,"Thin route - reliable, short delay tail"
ATL-OAJ,ATL,OAJ,399.0,621,"Thin route - long delay tail, high average delay"
ATL-OGG,ATL,OGG,4431.0,128,
ATL-OKC,ATL,OKC,761.0,1821,"Thin route - reliable, short delay tail"
ATL-OMA,ATL,OMA,821.0,1788,"Thin route - reliable, short delay tail"
ATL-ONT,ATL,ONT,1900.0,937,"Thin route - long-haul, rarely cancels"
ATL-ORD,ATL,ORD,606.0,6440,"Trunk route - multi-carrier, unreliable"
ATL-ORF,ATL,ORF,516.0,2941,"Trunk route - multi-carrier, unreliable"
ATL-PBI,ATL,PBI,545.0,3791,"Trunk route - multi-carrier, unreliable"
ATL-PDX,ATL,PDX,2172.0,1552,"Thin route - long-haul, rarely cancels"
ATL-PHL,ATL,PHL,666.0,5749,"Trunk route - multi-carrier, unreliable"
ATL-PHX,ATL,PHX,1587.0,3732,"Trunk route - multi-carrier, unreliable"
ATL-PIT,ATL,PIT,526.0,2754,"Thin route - reliable, short delay tail"
ATL-PNS,ATL,PNS,272.0,2812,"Thin route - reliable, short delay tail"
ATL-PSP,ATL,PSP,1840.0,187,
ATL-PVD,ATL,PVD,903.0,1134,"Thin route - reliable, short delay tail"
ATL-PWM,ATL,PWM,1027.0,642,"Thin route - reliable, short delay tail"
ATL-RAP,ATL,RAP,1231.0,23,
ATL-RDU,ATL,RDU,356.0,4629,"Trunk route - multi-carrier, unreliable"
ATL-RIC,ATL,RIC,481.0,2674,"Thin route - reliable, short delay tail"
ATL-RNO,ATL,RNO,1993.0,308,"Thin route - long-haul, rarely cancels"
ATL-ROA,ATL,ROA,357.0,432,"Thin route - reliable, short delay tail"
ATL-ROC,ATL,ROC,749.0,1041,"Thin route - reliable, short delay tail"
ATL-RSW,ATL,RSW,515.0,2817,"Trunk route - multi-carrier, unreliable"
ATL-SAN,ATL,SAN,1892.0,2379,"Thin route - long-haul, rarely cancels"
ATL-SAT,ATL,SAT,874.0,3000,"Trunk route - multi-carrier, unreliable"
ATL-SAV,ATL,SAV,215.0,3037,"Thin route - reliable, short delay tail"
ATL-SBA,ATL,SBA,2022.0,170,
ATL-SBN,ATL,SBN,566.0,1029,"Thin route - long delay tail, high average delay"
ATL-SDF,ATL,SDF,321.0,2717,"Thin route - reliable, short delay tail"
ATL-SEA,ATL,SEA,2182.0,3278,"Thin route - long-haul, rarely cancels"
ATL-SFO,ATL,SFO,2139.0,3352,"Trunk route - multi-carrier, unreliable"
ATL-SGF,ATL,SGF,563.0,591,"Thin route - reliable, short delay tail"
ATL-SHV,ATL,SHV,552.0,1517,"Thin route - long delay tail, high average delay"
ATL-SJC,ATL,SJC,2116.0,901,"Thin route - long-haul, rarely cancels"
ATL-SJU,ATL,SJU,1547.0,2099,"Trunk route - multi-carrier, unreliable"
ATL-SLC,ATL,SLC,1590.0,2964,"Thin route - long-haul, rarely cancels"
ATL-SMF,ATL,SMF,2092.0,1010,"Thin route - long-haul, rarely cancels"
ATL-SNA,ATL,SNA,1919.0,1033,"Thin route - long-haul, rarely cancels"
ATL-SRQ,ATL,SRQ,444.0,2294,"Thin route - reliable, short delay tail"
ATL-STL,ATL,STL,484.0,3685,"Trunk route - multi-carrier, unreliable"
ATL-STT,ATL,STT,1599.0,719,"Thin route - long-haul, rarely cancels"
ATL-STX,ATL,STX,1638.0,126,
ATL-SYR,ATL,SYR,794.0,1108,"Thin route - reliable, short delay tail"
ATL-TLH,ATL,TLH,223.0,2003,"Thin route - reliable, short delay tail"
ATL-TPA,ATL,TPA,406.0,6141,"Trunk route - multi-carrier, unreliable"
ATL-TRI,ATL,TRI,227.0,520,"Thin route - reliable, short delay tail"
ATL-TTN,ATL,TTN,701.0,39,
ATL-TUL,ATL,TUL,674.0,1576,"Thin route - reliable, short delay tail"
ATL-TUS,ATL,TUS,1541.0,809,"Thin route - long-haul, rarely cancels"
ATL-TVC,ATL,TVC,769.0,37,
ATL-TYS,ATL,TYS,152.0,1717,"Thin route - reliable, short delay tail"
ATL-VPS,ATL,VPS,250.0,2393,"Thin route - reliable, short delay tail"
ATL-XNA,ATL,XNA,589.0,1098,"Thin route - long delay tail, high average delay"
ATW-ATL,ATW,ATL,765.0,366,"Thin route - reliable, short delay tail"
ATW-AZA,ATW,AZA,1452.0,262,
ATW-BNA,ATW,BNA,570.0,89,
ATW-CLT,ATW,CLT,742.0,394,"Thin route - reliable, short delay tail"
ATW-DEN,ATW,DEN,883.0,411,"Thin route - reliable, short delay tail"
ATW-DFW,ATW,DFW,908.0,426,"Thin route - reliable, short delay tail"
ATW-DTW,ATW,DTW,296.0,1069,"Thin route - long delay tail, high average delay"
ATW-EWR,ATW,EWR,772.0,20,
ATW-FLL,ATW,FLL,1338.0,87,
ATW-GUF,ATW,GUF,964.0,87,
ATW-LAS,ATW,LAS,1510.0,171,
ATW-MCO,ATW,MCO,1162.0,57,
ATW-MSP,ATW,MSP,236.0,919,"Thin route - long delay tail, high average delay"
ATW-ORD,ATW,ORD,160.0,2430,"Thin route - long delay tail, high average delay"
ATW-PDX,ATW,PDX,1662.0,47,
ATW-PGD,ATW,PGD,1250.0,243,
ATW-PHX,ATW,PHX,1463.0,8,
ATW-PIE,ATW,PIE,1173.0,182,
ATW-RSW,ATW,RSW,1279.0,52,
ATW-SAV,ATW,SAV,926.0,33,
ATW-SFB,ATW,SFB,1141.0,254,
ATW-SNA,ATW,SNA,1729.0,21,
ATW-SRQ,ATW,SRQ,1209.0,70,
ATY-DEN,ATY,DEN,519.0,363,"Thin route - long delay tail, high average delay"
ATY-MSP,ATY,MSP,193.0,364,"Thin route - reliable, short delay tail"
AUS-ABQ,AUS,ABQ,619.0,830,"Thin route - reliable, short delay tail"
AUS-AGS,AUS,AGS,949.0,3,
AUS-AMA,AUS,AMA,419.0,196,
AUS-ASE,AUS,ASE,812.0,184,
AUS-ATL,AUS,ATL,813.0,4523,"Trunk route - multi-carrier, unreliable"
AUS-AVL,AUS,AVL,950.0,44,
AUS-BNA,AUS,BNA,756.0,3001,"Trunk route - multi-carrier, unreliable"
AUS-BOS,AUS,BOS,1698.0,1673,"Thin route - long delay tail, high average delay"
AUS-BUR,AUS,BUR,1241.0,346,"Thin route - long delay tail, high average delay"
AUS-BWI,AUS,BWI,1342.0,1287,"Thin route - long-haul, rarely cancels"
AUS-BZN,AUS,BZN,1299.0,11,
AUS-CHS,AUS,CHS,1055.0,126,
AUS-CLE,AUS,CLE,1174.0,41,
AUS-CLT,AUS,CLT,1032.0,1656,"Thin route - long delay tail, high average delay"
AUS-CMH,AUS,CMH,1073.0,414,"Thin route - reliable, short delay tail"
AUS-CVG,AUS,CVG,958.0,183,
AUS-DAL,AUS,DAL,189.0,2336,"Thin route - reliable, short delay tail"
AUS-DCA,AUS,DCA,1315.0,364,"Thin route - long delay tail, high average delay"
AUS-DEN,AUS,DEN,775.0,5416,"Trunk route - multi-carrier, unreliable"
AUS-DFW,AUS,DFW,190.0,4706,"Trunk route - multi-carrier, unreliable"
AUS-DSM,AUS,DSM,813.0,105,
AUS-DTW,AUS,DTW,1149.0,1321,"Thin route - reliable, short delay tail"
AUS-ECP,AUS,ECP,710.0,623,"Thin route - reliable, short delay tail"
AUS-ELP,AUS,ELP,528.0,1042,"Thin route - reliable, short delay tail"
AUS-EWR,AUS,EWR,1504.0,2081,"Trunk route - multi-carrier, unreliable"
AUS-FCA,AUS,FCA,1527.0,11,
AUS-FLL,AUS,FLL,1105.0,1167,"Thin route - long delay tail, high average delay"
AUS-GNV,AUS,GNV,924.0,2,
AUS-GRR,AUS,GRR,1103.0,93,
AUS-HDN,AUS,HDN,890.0,4,
AUS-HOU,AUS,HOU,148.0,1349,"Thin route - long delay tail, high average delay"
AUS-HRL,AUS,HRL,273.0,708,"Thin route - reliable, short delay tail"
AUS-IAD,AUS,IAD,1297.0,1042,"Thin route - reliable, short delay tail"
AUS-IAH,AUS,IAH,140.0,2695,"Trunk route - multi-carrier, unreliable"
AUS-IND,AUS,IND,919.0,1272,"Trunk route - multi-carrier, unreliable"
AUS-JAX,AUS,JAX,953.0,650,"Thin route - reliable, short delay tail"
AUS-JFK,AUS,JFK,1521.0,2191,"Trunk route - multi-carrier, unreliable"
AUS-LAS,AUS,LAS,1090.0,2878,"Trunk route - multi-carrier, unreliable"
AUS-LAX,AUS,LAX,1242.0,4091,"Trunk route - multi-carrier, unreliable"
AUS-LBB,AUS,LBB,341.0,326,"Thin route - long delay tail, high average delay"
AUS-LEX,AUS,LEX,922.0,2,
AUS-LGB,AUS,LGB,1226.0,428,"Thin route - long-haul, rarely cancels"
AUS-MAF,AUS,MAF,294.0,600,"Thin route - reliable, short delay tail"
AUS-MCI,AUS,MCI,650.0,981,"Thin route - reliable, short delay tail"
AUS-MCO,AUS,MCO,994.0,2832,"Trunk route - multi-carrier, unreliable"
AUS-MDW,AUS,MDW,972.0,1349,"Thin route - reliable, short delay tail"
AUS-MEM,AUS,MEM,559.0,365,"Thin route - reliable, short delay tail"
AUS-MFE,AUS,MFE,279.0,1032,"Thin route - reliable, short delay tail"
AUS-MIA,AUS,MIA,1103.0,2192,"Trunk route - multi-carrier, unreliable"
AUS-MKE,AUS,MKE,1032.0,278,
AUS-MSN,AUS,MSN,1004.0,1,
AUS-MSP,AUS,MSP,1042.0,1675,"Trunk route - multi-carrier, unreliable"
AUS-MSY,AUS,MSY,445.0,1970,"Trunk route - multi-carrier, unreliable"
AUS-MTJ,AUS,MTJ,818.0,4,
