risk_band,flights,mean_predicted,observed_rate
0-10%,190557,0.07292870312781047,0.09546225014037794
10-20%,456254,0.15533047559269336,0.19815278331806407
20-30%,318049,0.25216996602996133,0.3328889573619159
30-40%,210645,0.3418913918871258,0.4535165800280092
40-50%,28834,0.43374042178854877,0.5179649025456059
50%+,2893,0.5648460454525438,0.538195644659523
